Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.297061767534399,0.00136159987423916,STM4108,STM2285,STM3526,STM1290,STM4326,STM1511,STM0321,STM2947,STM3068,STM3529,STM2141,STM1620,STM0370,STM0974,STM1448,STM4184,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM3248,STM0519,STM0532,STM4466,STM2196,STM3240,STM2971,STM1826,,,,,,,,,
31,0.191807066877817,0.0587800779460914,STM3646,STM4482,STM1749,STM2463,STM2285,STM3526,STM4567,STM3512,STM3541,STM4326,STM1511,STM2952,STM2947,STM3709,STM3068,STM2141,STM1135,STM0370,STM3597,STM4408,STM1291,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM4578,STM1124,STM0402,STM0608,,,,,,,,
31,0.255421147607495,0.0337366363342305,STM4108,STM2285,STM3526,STM4568,STM4570,STM4326,STM1511,STM1884,STM2952,STM0321,STM3529,STM1620,STM0368,STM4408,STM1291,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM3248,STM0519,STM0977,STM2196,STM3240,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,,
31,0.230056769330627,0.0127262353320579,STM3646,STM1463,STM1749,STM2463,STM4108,STM2285,STM3526,STM4326,STM1511,STM1885,STM3709,STM3529,STM3247,STM1135,STM4183,STM0974,STM4408,STM3062,STM1291,STM0772,STM4585,STM3704,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM0402,STM0608,STM1341,,,,,,,,
31,0.294443399029738,0.00659903601370578,STM1749,STM2463,STM2285,STM3526,STM1290,STM4570,STM4326,STM1511,STM2947,STM3709,STM1620,STM0491,STM0369,STM1448,STM1326,STM4062,STM0518,STM4184,STM4484,STM0542,STM2317,STM3179,STM1480,STM4126,STM1124,STM4467,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,
31,0.295224366712247,0.00599215277606504,STM3646,STM1749,STM2463,STM2285,STM3526,STM1290,STM4567,STM4326,STM1511,STM2947,STM3709,STM1135,STM0491,STM0369,STM1448,STM1326,STM4062,STM4184,STM4484,STM0542,STM2317,STM3179,STM1480,STM4126,STM1124,STM4467,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,
31,0.28504455759065,0.00492280805942005,STM0158,STM1749,STM2463,STM4108,STM2285,STM3526,STM1290,STM4326,STM1511,STM0321,STM2947,STM3709,STM3529,STM1620,STM0491,STM1448,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,STM4467,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,,
31,0.226029324672171,0.00857278933850166,STM3646,STM1749,STM2463,STM2285,STM3526,STM0322,STM4326,STM1511,STM1885,STM2952,STM0840,STM0842,STM3709,STM1135,STM1570,STM4036,STM4183,STM0368,STM3597,STM4408,STM1291,STM4484,STM2317,STM3179,STM1480,STM4126,STM4578,STM0007,STM2473,STM0402,STM0608,,,,,,,,
32,0.21210231975149,0.0677467329198605,STM3646,STM1463,STM1749,STM2463,STM2285,STM3526,STM0322,STM4326,STM1511,STM3068,STM2141,STM1135,STM3542,STM4485,STM0974,STM4408,STM1291,STM3069,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2196,STM3240,STM2041,STM0402,STM0608,STM2971,STM1826,STM1341,,,,,,,
32,0.285044557590652,0.00492280805948491,STM1749,STM2463,STM4108,STM2285,STM3526,STM0322,STM4326,STM1511,STM2947,STM3709,STM3529,STM1620,STM0491,STM1448,STM3069,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,STM3241,STM0973,STM4467,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,,
33,0.0719759001721199,0.0566292756580409,STM3646,STM1463,STM1749,STM2463,STM2285,STM3526,STM1290,STM4326,STM1884,STM0321,STM2947,STM3709,STM3068,STM2141,STM1135,STM0370,STM1448,STM4184,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM2338,STM2466,STM4467,STM3802,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,
33,0.0719810944395102,0.0566255025483548,STM3646,STM1463,STM1749,STM2463,STM2285,STM3526,STM4567,STM4326,STM1511,STM1884,STM0321,STM2947,STM3709,STM1135,STM0369,STM1448,STM1326,STM4062,STM3069,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,STM4467,STM2196,STM3240,STM3708,STM2971,STM1826,,,,,,
