Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.377905480096678,0.0663030252053431,b2836,b3553,b1478,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b2926,b2407,b3844,b1238,b1004,b3713,b1109,b0046,b3236,b0120,b0937,b1982,b2797,b3117,b1814,b4471,b1033,b0261,b0411,b2799,b3945,b1602,b0507,b3709,b2913,b4381,b2406,b3161,b0112,b1539,b2492,b0904,b1533,b1380,b1473,b4141,b1798,b0606,b2285,b1009,,,,,,,,,,,,,
53,0.474433644804856,0.0740725421442015,b2836,b3553,b1478,b4382,b1241,b4069,b4384,b3708,b2297,b2458,b2926,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b0120,b3908,b1656,b0937,b1982,b0477,b4139,b2797,b3117,b1814,b4471,b1033,b4014,b0261,b2976,b2799,b3945,b1602,b0507,b2406,b1539,b2492,b0904,b1300,b2954,b1533,b1380,b2660,b4141,b1798,b3662,b2285,b1007,,,,,,,,,,,,
54,0.316954196535041,0.0854053684602188,b1478,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b2926,b0030,b2407,b1238,b3962,b1982,b0477,b4139,b0104,b2797,b3117,b1814,b4471,b3616,b3589,b4267,b1415,b1014,b4014,b0261,b2976,b1701,b1805,b3945,b0507,b3709,b4381,b2406,b3161,b0112,b2975,b0114,b3603,b2366,b2492,b0904,b2954,b3035,b1533,b1380,b0325,b0508,b1473,b4266,b3662,b1813,,,,,,,,,,,
54,0.316954196535037,0.0854053684552853,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b0160,b1779,b3962,b1982,b4139,b0104,b2797,b3117,b1814,b4471,b3616,b3589,b4267,b4374,b0675,b2361,b2291,b1014,b4014,b0261,b2976,b3945,b3709,b2913,b3161,b0112,b2975,b0114,b3603,b0509,b3125,b0306,b1539,b3605,b2492,b0904,b2954,b0591,b1533,b3927,b3821,b1380,b0325,b0508,b1473,b4266,,,,,,,,,,,
55,0.319445300363432,0.0714490525445876,b3399,b4382,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b2926,b3962,b1982,b4139,b0104,b2797,b3117,b1814,b4471,b3616,b3589,b4267,b0675,b2361,b1014,b4014,b0261,b2976,b0822,b2799,b0507,b3709,b4381,b2406,b3161,b0112,b2975,b0114,b3603,b0306,b1539,b3605,b2492,b0904,b2954,b1533,b3821,b1380,b0789,b1249,b0508,b1473,b0594,b4266,b1813,,,,,,,,,,
55,0.398655245681549,0.0679986593153888,b4467,b1478,b3399,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b2297,b2458,b2926,b1238,b1004,b3713,b1109,b0046,b3236,b0120,b1982,b2797,b3117,b1814,b4471,b1623,b0261,b2799,b3945,b1602,b3709,b2913,b4381,b2406,b3161,b0112,b3915,b0452,b2975,b3603,b0509,b3125,b1539,b2492,b0904,b1533,b1380,b0508,b1473,b4141,b1798,b0606,b2285,b1007,b4209,,,,,,,,,,
56,0.402239769274773,0.0705562343465436,b4467,b1478,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b3844,b1238,b1004,b3713,b1109,b0046,b3236,b0120,b1982,b2797,b3117,b1814,b4471,b0261,b2799,b3945,b1602,b0507,b3709,b0153,b2913,b4381,b2406,b3161,b0112,b0452,b4064,b4464,b2975,b3603,b0755,b3612,b1539,b2492,b0904,b3035,b1533,b1380,b1473,b4141,b1798,b3662,b0606,b2285,b1008,,,,,,,,,
57,0.299118569115576,0.31749282460092,b3553,b3399,b1241,b0351,b4069,b4384,b2744,b3708,b1479,b3752,b3115,b1849,b2296,b3236,b2883,b1779,b3962,b1982,b0104,b2797,b3117,b1814,b4471,b3616,b3589,b4267,b1033,b0596,b1623,b4374,b2361,b2291,b1415,b1014,b4014,b0261,b2976,b0411,b2799,b3945,b0507,b3709,b4381,b3161,b0112,b0114,b2366,b2492,b0904,b1533,b3927,b3821,b1380,b1473,b4266,b3662,b2842,,,,,,,,
60,0.299118569115585,0.317492824580384,b3553,b3399,b1241,b0351,b4069,b4384,b2744,b3708,b1479,b2297,b2458,b0030,b1238,b3124,b3236,b2883,b3962,b1982,b0104,b2797,b3117,b1814,b4471,b3616,b3589,b4267,b1033,b1623,b0675,b1415,b1014,b4014,b0261,b2976,b0411,b0822,b2799,b3709,b4381,b2406,b3161,b0112,b2789,b3127,b0114,b0755,b3612,b1539,b2492,b0904,b3035,b1533,b3821,b1380,b4042,b1473,b0514,b4266,b3662,b2842,,,,,
65,0.387239097011084,0.0866372613319005,b3553,b3399,b4269,b0493,b3846,b3588,b2341,b3003,b3011,b1241,b0351,b2744,b3708,b3008,b1479,b0871,b2779,b0160,b3236,b1779,b2690,b0121,b3962,b1982,b0104,b2797,b3117,b1814,b4471,b3616,b3589,b4267,b1033,b0595,b4374,b0675,b2361,b2291,b1748,b1415,b1014,b4014,b0261,b2976,b2799,b3945,b0507,b1907,b0112,b0452,b1444,b0837,b0124,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b1380,b1473,b3715,b4266
