Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.552287983359868,0.291688136971277,b3831,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b4381,b2406,b2197,b3821,b3918,b4042,b1206,,,,,,,,,,,,,,,,
22,0.551546604981089,0.291296581687755,b0474,b2518,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b4138,b4123,b0621,b4381,b2406,b2197,b3821,b3918,b4042,b1206,,,,,,,,,,,,,,
22,0.540444121451685,0.285432860522877,b2836,b3831,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b2342,b3845,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b4042,b1206,,,,,,,,,,,,,,
22,0.540443141739852,0.285432343091273,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b0452,b2197,b3918,b4042,b1206,b0221,,,,,,,,,,,,,,
22,0.539734179524455,0.285057908245033,b2836,b0474,b2518,b3831,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4161,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b4042,b1206,b0221,,,,,,,,,,,,,,
23,0.552287983359648,0.29168813697109,b3831,b3614,b0910,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b1701,b1805,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b4042,b1206,,,,,,,,,,,,,
23,0.552286960236594,0.291687596613816,b1054,b4382,b3831,b4384,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b1701,b1805,b4138,b4123,b0621,b2406,b2197,b3918,b1206,,,,,,,,,,,,,
23,0.5515466049812,0.291296581687818,b1855,b4382,b0474,b2518,b3831,b4384,b1278,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4161,b4138,b4123,b0621,b2406,b2197,b3821,b3918,b1206,,,,,,,,,,,,,
23,0.551546604981089,0.291296581687764,b1054,b0474,b2518,b2744,b1278,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b4138,b4123,b0621,b4381,b2406,b2197,b3821,b3918,b1206,,,,,,,,,,,,,
23,0.551546604980978,0.291296581687267,b0474,b2518,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b2361,b2291,b1701,b1805,b4138,b4123,b0621,b2197,b3918,b4042,b1206,,,,,,,,,,,,,
23,0.540444121451685,0.28543286052288,b3846,b2341,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b4138,b4123,b0621,b4381,b2406,b0452,b2197,b3918,b4042,b1206,,,,,,,,,,,,,
23,0.540444121451741,0.285432860521795,b3831,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b2342,b3845,b4138,b4123,b0621,b4381,b2406,b0452,b2197,b3918,b1206,b3546,,,,,,,,,,,,,
23,0.540444121451528,0.285432860523262,b1855,b2744,b1278,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b4138,b4123,b0621,b4381,b2406,b0452,b2197,b3918,b1206,b0221,,,,,,,,,,,,,
23,0.540444121451685,0.285432860522882,b3831,b3614,b0910,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b4138,b4123,b0621,b4381,b2406,b0452,b2197,b3918,b4042,b1206,b0221,,,,,,,,,,,,,
23,0.540443141739852,0.285432343093816,b1855,b2836,b4382,b3831,b4384,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b2197,b3918,b0494,b1206,,,,,,,,,,,,,
23,0.539734179524455,0.285057908244845,b2836,b3846,b2341,b0474,b2518,b3831,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4161,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b4042,b1206,,,,,,,,,,,,,
23,0.539734179524455,0.285057908244962,b2836,b0474,b2518,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b2197,b3918,b4042,b1206,b0221,,,,,,,,,,,,,
23,0.539734179524455,0.285057908244886,b2836,b4382,b0474,b2518,b3831,b4384,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4161,b4138,b4123,b0621,b2406,b2197,b3918,b4042,b1206,b0221,,,,,,,,,,,,,
23,0.539734179524455,0.285057908244954,b0474,b2518,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b0452,b2197,b3918,b4042,b1206,b0221,,,,,,,,,,,,,
23,0.54061654262169,0.285046208092747,b2836,b3831,b3614,b0910,b3752,b4152,b2781,b3844,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2223,b4381,b2406,b3915,b2197,b3918,b4042,b1206,,,,,,,,,,,,,
24,0.552287983359851,0.29168813697123,b1054,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b2361,b2291,b1701,b1805,b4138,b4123,b0621,b2197,b3918,b0789,b1249,b1206,,,,,,,,,,,,
24,0.5515466049812,0.291296581687818,b1054,b0474,b2518,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b2197,b3821,b3918,b0789,b1249,b1206,,,,,,,,,,,,
24,0.551546604981089,0.291296581687755,b0474,b2518,b2744,b1278,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b4138,b4123,b0621,b4381,b2406,b2197,b2835,b3918,b0494,b1206,b3546,,,,,,,,,,,,
24,0.540444121451685,0.285432860523496,b1054,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b2361,b2291,b4138,b4123,b0621,b0452,b2197,b3918,b0789,b1249,b1206,b0221,,,,,,,,,,,,
24,0.540444121451768,0.285432860522957,b3831,b3614,b0910,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b2342,b3845,b4138,b4123,b0621,b4381,b2406,b0452,b2197,b3918,b4042,b1206,,,,,,,,,,,,
24,0.540443141739852,0.28543234309403,b1855,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b0452,b2197,b3918,b0789,b1249,b1206,b0221,,,,,,,,,,,,
24,0.54048802506755,0.285368921331342,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2781,b3844,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b0153,b2406,b0452,b0591,b2197,b3918,b4042,b1206,,,,,,,,,,,,
24,0.539734179524455,0.28505790824494,b1054,b3846,b2341,b0474,b2518,b3831,b1278,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4161,b4138,b4123,b0621,b4381,b2406,b0452,b2197,b3918,b1206,,,,,,,,,,,,
24,0.539734179524455,0.285057908244929,b1855,b2836,b0474,b2518,b2744,b1278,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b2197,b3918,b1206,b0221,,,,,,,,,,,,
24,0.540684825453571,0.285026601559423,b1054,b2744,b1278,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b2361,b2291,b4138,b4123,b0621,b3915,b0452,b2197,b3918,b1206,b4209,,,,,,,,,,,,
24,0.540869271032826,0.284701522887157,b1054,b3831,b3614,b0910,b3752,b4152,b2781,b3844,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b4381,b2406,b3915,b0452,b2197,b3918,b0789,b1249,b1206,,,,,,,,,,,,
24,0.54086927103267,0.28470152288832,b1054,b2744,b1278,b3614,b0910,b4152,b2781,b3844,b1612,b1611,b4122,b1759,b4374,b0675,b2361,b2291,b4138,b4123,b0621,b3915,b0452,b2197,b3918,b1206,,,,,,,,,,,,
24,0.539864663575191,0.284683009001742,b2836,b0474,b2518,b3831,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4161,b4138,b4123,b0621,b4381,b2406,b3915,b2197,b3918,b4042,b1695,b1206,b4209,,,,,,,,,,,,
25,0.552286960236594,0.291687596613002,b4382,b3831,b4384,b3614,b0910,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b4138,b4123,b0621,b2406,b2197,b3821,b3918,b0789,b1249,b1206,b3546,,,,,,,,,,,
25,0.5515466049812,0.291296581688082,b0474,b2518,b3831,b2744,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b2361,b2291,b4138,b4123,b0621,b2406,b2197,b2835,b3918,b4042,b0494,b1206,,,,,,,,,,,
25,0.5515466049812,0.291296581687818,b1054,b0474,b2518,b3831,b2744,b1278,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b2361,b2291,b0411,b4138,b4123,b0621,b2197,b3821,b3918,b1206,,,,,,,,,,,
25,0.539734179524391,0.285057908244639,b2836,b3846,b2341,b0474,b2518,b3831,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4161,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b0789,b1249,b1206,b3546,,,,,,,,,,,
25,0.540158212425114,0.284327237492237,b0474,b2518,b3831,b4152,b2781,b0030,b3844,b1612,b1611,b4122,b0651,b2162,b1759,b4161,b4138,b4123,b0621,b4381,b2406,b3915,b0452,b2197,b3918,b4042,b1206,,,,,,,,,,,
25,0.5515466049812,0.291296581688033,b4382,b0474,b2518,b4384,b2744,b1278,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b4138,b4123,b0621,b2406,b2197,b3825,b3918,b0494,b1206,b3546,,,,,,,,,,,
26,0.552287983359683,0.291688136971249,b3831,b2744,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b3449,b4374,b2361,b2291,b0411,b4138,b4123,b0621,b2197,b3918,b0418,b0494,b1206,b3546,,,,,,,,,,
26,0.540444121451784,0.285432860523588,b1054,b2836,b3831,b2744,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b2361,b2291,b0411,b4138,b4123,b0621,b2197,b3918,b0789,b1249,b0494,b1206,,,,,,,,,,
29,0.452813360251807,0.00565448423047076,b0474,b2518,b2744,b1278,b4152,b2781,b3844,b1612,b1611,b4122,b0907,b1759,b2440,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b0452,b2197,b3918,b0418,b1206,b3546,b2285,b3924,,,,,,,
33,0.442335368633644,0.233617213265584,b4467,b2836,b2242,b2744,b3614,b0910,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b4374,b0675,b1415,b4138,b4123,b0621,b4381,b2406,b2492,b0904,b2197,b3028,b3918,b4042,b1206,b0221,b2285,,,
33,0.44233536863365,0.233617213261312,b4467,b2836,b2242,b2744,b3614,b0910,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b4374,b0675,b2361,b2291,b1415,b4138,b4123,b0621,b2492,b0904,b2197,b3028,b3918,b4042,b1206,b0221,b2285,,,
34,0.456544798099462,0.241121852399111,b4467,b2242,b4382,b3831,b4384,b3614,b0910,b2781,b0030,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b0651,b2162,b1759,b2210,b1415,b4138,b4123,b0621,b2406,b2492,b0904,b2197,b3028,b3821,b3918,b4042,b1206,b2285,,
34,0.456544798099408,0.241121852397561,b4467,b2242,b4382,b3831,b4384,b3614,b0910,b3752,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b1701,b1805,b4138,b4123,b0621,b2406,b0306,b3605,b2197,b3028,b3918,b4042,b1206,b2285,b3893,b1474,,
35,0.442334204772864,0.233616598580041,b4467,b2836,b2242,b3846,b2341,b0474,b2518,b2744,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b4374,b4161,b0675,b2361,b2291,b1415,b4138,b4123,b0621,b2492,b0904,b2197,b3028,b3918,b4042,b1206,b2285,
36,0.456544798099458,0.241121852390901,b4467,b1054,b2242,b4382,b3831,b4384,b3614,b0910,b3752,b2781,b1004,b3713,b1109,b0046,b3236,b1612,b1611,b4122,b1759,b1415,b4014,b2976,b4138,b4123,b0621,b2406,b2492,b0904,b2197,b3028,b3821,b3918,b0789,b1249,b1206,b2285
