Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.4759302290969,1.82421534382619,b1241,b0351,b4069,b4384,b2297,b2458,b3617,b0030,b2407,b1982,b0261,b0507,b4381,b2406,b0112,b2975,b0114,b3603,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.5498995123836,0.651559435233651,b3553,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0871,b1238,b2883,b1982,b3616,b3589,b1033,b0675,b2361,b0261,b0411,b4381,b0112,b0114,b0509,b3125,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,
31,0.459858312344704,1.37607081667718,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b3617,b2407,b3124,b1779,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b2868,b0114,b2366,b2492,b0904,b1533,b3821,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,
32,0.457752228594162,1.34577662935735,b2836,b3399,b4382,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b3617,b3236,b1779,b1982,b2797,b3117,b1814,b4471,b2210,b0675,b2361,b0261,b4381,b2406,b0112,b2868,b0114,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,
33,0.350015145285947,1.1009873404922,b4467,b1478,b4382,b1241,b4069,b4384,b3752,b3115,b1849,b2296,b2779,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b1982,b0261,b0411,b2799,b3945,b1602,b0529,b2492,b0904,b1380,b2660,b0606,b2285,b1007,,,,,,,,,,,,,,,,,,,,,
34,0.345619519577132,1.08716071485118,b3553,b1478,b1241,b4069,b4384,b3115,b1849,b2296,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b0937,b1982,b1033,b0261,b0411,b2799,b3945,b1602,b4381,b0529,b2492,b0904,b1380,b2660,b0606,b2285,b1009,,,,,,,,,,,,,,,,,,,,
34,0.352089556397084,0.223716295769808,b4069,b4384,b3708,b2930,b4232,b3697,b3925,b0871,b2297,b2458,b0030,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b2440,b0261,b4381,b2406,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b0516,b3662,b2285,,,,,,,,,,,,,,,,,,,,
35,0.407063509425814,0.61466861298873,b4467,b4382,b4069,b4384,b2297,b2458,b2926,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b0261,b2799,b3945,b1602,b0153,b2406,b1727,b0114,b0529,b2492,b0904,b3035,b3927,b1380,b2660,b3662,b0606,b2285,b1007,,,,,,,,,,,,,,,,,,,
36,0.459266263465036,1.37429918146982,b3553,b4382,b1241,b0351,b4069,b4384,b3708,b0910,b2297,b2458,b2779,b2926,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b1033,b0261,b2239,b2406,b0112,b2789,b3127,b3453,b0114,b1539,b2492,b0904,b1533,b3825,b3662,,,,,,,,,,,,,,,,,,
36,0.34297859399144,1.12875541449362,b3553,b1478,b4382,b1241,b4069,b4384,b3115,b1849,b2296,b2779,b0030,b2407,b1004,b3713,b1109,b0046,b3236,b1982,b1033,b0261,b2799,b3945,b1602,b2913,b2406,b3915,b0452,b0529,b2492,b0904,b1380,b3662,b0606,b2285,b1009,b4209,,,,,,,,,,,,,,,,,,
36,0.349373566847592,0.853196802636071,b4467,b1478,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b0261,b0411,b2799,b3945,b1602,b4381,b3915,b4064,b4464,b2975,b3603,b0529,b2492,b0904,b1380,b2660,b0606,b2285,b1009,,,,,,,,,,,,,,,,,,
36,0.460418687660345,0.359127113534556,b3553,b3399,b4069,b2744,b2297,b2458,b2926,b0160,b1004,b3713,b1109,b0046,b3236,b1982,b1033,b4374,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b2913,b3915,b1727,b0114,b0529,b2492,b0904,b3927,b1380,b0606,b2285,b1011,b4209,,,,,,,,,,,,,,,,,,
36,0.579178169643573,0.199412781372551,b3399,b2744,b3708,b3008,b0871,b3115,b1849,b2296,b2925,b2097,b2926,b0160,b0517,b1982,b2688,b2797,b3117,b1814,b4471,b3449,b3946,b0825,b4374,b0675,b2361,b2291,b0261,b2239,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b1380,,,,,,,,,,,,,,,,,,
36,0.453490980418163,0.156237279459512,b4467,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b1982,b0261,b2799,b3945,b1602,b4381,b2406,b3915,b1727,b0529,b2492,b0904,b3927,b1380,b2660,b3662,b0606,b2285,b1011,,,,,,,,,,,,,,,,,,
37,0.373834533565423,0.958270994484671,b4467,b1478,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b2502,b2744,b0871,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b1982,b4374,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b0529,b2492,b0904,b1380,b2660,b0606,b2285,b1010,,,,,,,,,,,,,,,,,
37,0.383785597355449,0.132138532560483,b1478,b4382,b1241,b0351,b4384,b3708,b3008,b0871,b2297,b2458,b2779,b2925,b2097,b3617,b0030,b2407,b2690,b1982,b2797,b3117,b1814,b4471,b3449,b0675,b0261,b0822,b2406,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b0494,b3662,b2285,,,,,,,,,,,,,,,,,
38,0.653662175576381,0.41533433171282,b3399,b4382,b0474,b2518,b4069,b2502,b4384,b2744,b3708,b3008,b2297,b2458,b2781,b0099,b2235,b1779,b1982,b2797,b3117,b1814,b4471,b1623,b0675,b2361,b0261,b1701,b1805,b1654,b3610,b0849,b1064,b0114,b1539,b2492,b0904,b2954,b1533,b3927,,,,,,,,,,,,,,,,
38,0.614946728202816,0.187517612164838,b2836,b3399,b2502,b2744,b3708,b3008,b2930,b4232,b3697,b3925,b0512,b0871,b2297,b2458,b2690,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b3945,b4381,b2406,b0114,b0755,b3612,b0529,b1539,b2492,b0904,b2947,b1533,b3927,b2413,b1813,,,,,,,,,,,,,,,,
39,0.328355529120377,0.885507877521554,b2836,b3553,b1478,b3399,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b0030,b1004,b3713,b1109,b0046,b3236,b1779,b1982,b1033,b1623,b0261,b0411,b2799,b3945,b1602,b2913,b2223,b4381,b3915,b0529,b2492,b0904,b1380,b0606,b2285,b1007,b4209,,,,,,,,,,,,,,,
39,0.726816595743657,0.25024513436351,b4382,b1241,b0351,b4384,b3708,b3008,b2930,b4232,b3697,b3925,b0871,b2297,b2458,b0030,b2407,b3236,b2690,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b2210,b0261,b3945,b2406,b0114,b0886,b0529,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b3662,,,,,,,,,,,,,,,
39,0.480570517774944,0.106667384069934,b3553,b4382,b4069,b4384,b2297,b2458,b0030,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b1982,b4139,b1033,b1623,b0261,b2799,b3945,b1602,b0507,b2406,b3915,b1727,b0114,b0529,b2492,b0904,b2954,b3927,b3029,b1380,b2660,b3662,b2285,b1009,,,,,,,,,,,,,,,
43,0.37298948461733,0.0207393343123062,b4467,b1478,b3942,b1732,b1241,b0351,b4384,b0871,b2779,b2925,b2097,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b2690,b0937,b1982,b2210,b3551,b0261,b0411,b2799,b3945,b1602,b4219,b1832,b1778,b4381,b0529,b2492,b0904,b3927,b1380,b1710,b2480,b0606,b2285,b1007,,,,,,,,,,,
44,0.387155281581531,0.868758062296993,b3553,b1478,b1241,b4069,b4384,b3752,b2297,b2458,b2926,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b3908,b1656,b1982,b4139,b1033,b1623,b4014,b0261,b2976,b2799,b3945,b1602,b0507,b2342,b3845,b4381,b2406,b3915,b0529,b2492,b0904,b2954,b3927,b1380,b2660,b3662,b2285,b1007,,,,,,,,,,
54,0.346410060811174,0.525251529295114,b3553,b1478,b4382,b4269,b0493,b3588,b3003,b3011,b0238,b0125,b1241,b0351,b4384,b2744,b3752,b0871,b2779,b3617,b3844,b1004,b3713,b1109,b0046,b3236,b2883,b1638,b1779,b1982,b0477,b4139,b1033,b0261,b0411,b2799,b3945,b1602,b0153,b2913,b2789,b3127,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b2954,b0591,b3029,b1380,b3662,b2285,b1011
