Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.576909566180299,1.10563189549324,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b3617,b2407,b1982,b0261,b4381,b2406,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.576909566180299,1.10563189550187,b3399,b4382,b1241,b0351,b4069,b2502,b4384,b2744,b2297,b2458,b3617,b1982,b0675,b2361,b0261,b4381,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.576909566180348,1.10563189549062,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b2407,b1982,b3616,b3589,b0261,b4381,b2406,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.576909566180327,1.10563189548274,b3399,b1241,b0351,b4069,b2502,b2744,b3115,b1849,b2296,b3617,b1982,b4374,b0675,b2361,b2291,b0261,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.576909566180327,1.10563189548274,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b3617,b0160,b1982,b4374,b0675,b2361,b2291,b0261,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.576909566180327,1.10563189548164,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b0160,b1238,b1982,b3616,b3589,b0675,b2361,b0261,b4381,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.576862950609624,1.10592905610194,b4382,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b2407,b1982,b3616,b3589,b2406,b2868,b0114,b0529,b2492,b0904,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.576909566180313,1.10563189550518,b1241,b0351,b4069,b4384,b2744,b3752,b3115,b1849,b2296,b2407,b1982,b3616,b3589,b0261,b0411,b4381,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.576862950609665,1.10592905617845,b1241,b0351,b4069,b4384,b2744,b3752,b3115,b1849,b2296,b3617,b2407,b1982,b3665,b0411,b4381,b0114,b0529,b2492,b0904,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.576862950609651,1.10592905613969,b3399,b1241,b0351,b4069,b2502,b4384,b2744,b3115,b1849,b2296,b3617,b1982,b3665,b4374,b0675,b2361,b2291,b0114,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.576862950609651,1.10592905614435,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b0160,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b2868,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.576862950609624,1.10592905610933,b3399,b4382,b1241,b0351,b4069,b2502,b4384,b2744,b3115,b1849,b2296,b3617,b2407,b1982,b3665,b0675,b2361,b0114,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.576862950609665,1.10592905619289,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b0030,b2883,b1982,b3616,b3589,b4381,b2406,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b1511,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.576893973740506,1.10585930775576,b1241,b0351,b4069,b4384,b2744,b3752,b3115,b1849,b2296,b3617,b2883,b1982,b0261,b4381,b2406,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.59966547489328,0.975086345253363,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b3617,b0030,b2407,b1982,b3665,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.599716551432514,0.974767588223751,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b3752,b0871,b3617,b2407,b1982,b0261,b0411,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.532489963342598,1.01913919691463,b3399,b3942,b1732,b1241,b0351,b4069,b2744,b2297,b2458,b2779,b3617,b0160,b3236,b1982,b2210,b4374,b0675,b2361,b2291,b0114,b0529,b2492,b0904,b0515,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.593745906707781,0.96546082848164,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b3752,b0871,b3617,b2407,b3236,b1982,b2210,b3665,b0411,b0114,b0529,b2492,b0904,b1511,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.744720558544695,0.315401618201463,b2836,b3399,b4069,b2502,b2744,b3708,b3008,b2297,b2458,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b0114,b1539,b2492,b0904,b1533,b3927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.509744636460221,0.977253616351834,b4382,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b2926,b2407,b3236,b1982,b3616,b3589,b2210,b2406,b0112,b0511,b0114,b0529,b2492,b0904,b0516,b1511,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.59971655143257,0.974767588227027,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b0871,b3617,b0030,b2883,b1982,b1623,b0261,b0411,b4381,b0112,b0114,b0529,b2492,b0904,b2954,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.47401210356607,0.200752057658386,b2836,b4382,b4069,b4384,b3708,b2297,b2458,b2926,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b3662,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.568402321996561,1.08970881694904,b1241,b0351,b4069,b4384,b2744,b1479,b2297,b2458,b3617,b0030,b2407,b3236,b2463,b1982,b2210,b4374,b2361,b2291,b2406,b0511,b0114,b0529,b2492,b0904,b0515,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.599235884872139,0.896570738586485,b3399,b1241,b0351,b4069,b2744,b3708,b3115,b1849,b2296,b0160,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0114,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.68879640013762,0.158047594301386,b2836,b4384,b3708,b3008,b0871,b2926,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0114,b2366,b0529,b2492,b0904,b2947,b2578,b1533,b3927,b2413,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.575527749053288,1.10298367957289,b3399,b4382,b0474,b2518,b1241,b0351,b4069,b2502,b4384,b2744,b3115,b1849,b2296,b2781,b0099,b3617,b0030,b2883,b1982,b1623,b0261,b0411,b0114,b0529,b2492,b0904,b2954,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.638933675490286,0.146657854180076,b4382,b4384,b2744,b3708,b3008,b0871,b2925,b2097,b0030,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b0261,b0411,b0114,b1539,b2492,b0904,b1533,b3927,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.744701927762639,0.315665841832337,b4069,b4384,b2744,b3708,b3008,b2297,b2458,b0030,b3844,b2883,b1982,b2797,b3117,b1814,b4471,b0261,b0411,b4381,b0452,b2868,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b3927,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.751202318353618,0.298551338987094,b3399,b4069,b4384,b2744,b3708,b3008,b2297,b2458,b0030,b2883,b1982,b2797,b3117,b1814,b4471,b2440,b1623,b0261,b0411,b4381,b2406,b0114,b1539,b2492,b0904,b1533,b3927,b0494,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.638880142672936,0.147025913139113,b3399,b4384,b2744,b3708,b3008,b0871,b2925,b2097,b0160,b1238,b1779,b2690,b1982,b2797,b3117,b1814,b4471,b3665,b0675,b2361,b3945,b4381,b0114,b1539,b2492,b0904,b1533,b3927,b3821,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.599665474893275,0.975086345255596,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b4384,b2744,b3752,b0871,b2883,b1982,b3616,b3589,b4374,b2361,b2291,b2406,b0112,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b3662,b1518,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.74429796914518,0.293818587804097,b3399,b4069,b2502,b2744,b3708,b3115,b1849,b2296,b2925,b2097,b2690,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b3945,b2868,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b3821,b1511,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.63893367549028,0.146657854178933,b3399,b2744,b3708,b3008,b2930,b4232,b3697,b3925,b0871,b2926,b0160,b2690,b1982,b2797,b3117,b1814,b4471,b3449,b4374,b0675,b2361,b2291,b0261,b3945,b0114,b1539,b2492,b0904,b1533,b3927,b0494,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.529671340055258,0.792843842052857,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b3115,b1849,b2296,b2779,b2407,b3236,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b2210,b4374,b2361,b2291,b2406,b0112,b0511,b0114,b2366,b2492,b0904,b1533,b0516,b3662,b1518,,,,,,,,,,,,,,,,,,,,,
37,0.76320797696596,0.175576045993721,b2836,b1478,b1241,b4384,b2744,b3708,b3008,b3752,b2930,b4232,b3697,b3925,b0871,b2883,b2690,b1982,b2797,b3117,b1814,b4471,b0675,b0411,b0822,b4381,b2868,b4064,b4464,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b4042,b1511,b3662,,,,,,,,,,,,,,,,,,,
37,0.474385951484329,0.121004589545738,b4467,b4382,b3846,b3831,b4069,b4384,b3752,b2297,b2458,b2779,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b3908,b1656,b1982,b0477,b4139,b0261,b3945,b1602,b2406,b3915,b1727,b0114,b0529,b2492,b0904,b2954,b1380,b2660,b3662,b2285,,,,,,,,,,,,,,,,,,,
37,0.474385951484314,0.121004589555288,b4467,b3846,b4069,b4384,b2744,b3752,b2297,b2458,b2779,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1982,b0477,b4139,b0261,b0411,b3945,b1602,b2913,b4381,b3915,b1727,b0114,b0529,b2492,b0904,b2954,b3029,b1380,b3662,b2285,b1010,,,,,,,,,,,,,,,,,,,
40,0.467069116869854,0.0897818939396496,b4467,b4382,b4269,b0493,b3588,b3003,b3011,b4384,b0871,b0030,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b1982,b0477,b4139,b0261,b3945,b1602,b2913,b2406,b3915,b1727,b0114,b0755,b3612,b0529,b2492,b0904,b2954,b3029,b1380,b3662,b0221,b2285,b1010,,,,,,,,,,,,,,,,
42,0.368181370329819,0.169913002410578,b4467,b3399,b4069,b2744,b2930,b4232,b3697,b3925,b3115,b1849,b2296,b2926,b0160,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b2690,b3908,b1656,b1982,b4139,b4374,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b2913,b1727,b0114,b0529,b2492,b0904,b3927,b1380,b2285,,,,,,,,,,,,,,
44,0.445578999961114,0.376033141042604,b3553,b1478,b3399,b4382,b1241,b4069,b2502,b4384,b2744,b2297,b2458,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b4117,b3908,b1656,b1982,b4139,b1033,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b3915,b0509,b3125,b0529,b2492,b0904,b2954,b2938,b1380,b2660,b1695,b2285,b1009,,,,,,,,,,,,
47,0.426672889565698,0.425348710249708,b3553,b1478,b3399,b1241,b4069,b2744,b3115,b1849,b2296,b2926,b0160,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b3908,b1656,b0207,b3012,b0937,b1982,b4139,b1033,b0675,b2361,b0261,b2799,b1602,b0507,b2913,b4381,b2406,b0529,b2492,b0904,b1300,b2954,b1781,b3001,b1380,b0325,b1771,b2285,b1009,,,,,,,,,
47,0.336471878178867,0.155279304324143,b4467,b3399,b4382,b4069,b4384,b2744,b3752,b2930,b4232,b3697,b3925,b0871,b2297,b2458,b2779,b0160,b3844,b1004,b3713,b1109,b0046,b3236,b2883,b1638,b2690,b3908,b1656,b1982,b4139,b1623,b2361,b2291,b0261,b0411,b2799,b3945,b1602,b2913,b1727,b0114,b0529,b2492,b0904,b1380,b3662,b2285,b1009,,,,,,,,,
49,0.458265953135245,0.322316285125877,b4467,b1478,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b2744,b0871,b0160,b1004,b3713,b1109,b0046,b3236,b1638,b1779,b0207,b3012,b1982,b4139,b0675,b2361,b0261,b2799,b1602,b0507,b4381,b2406,b3915,b2975,b3603,b0529,b2492,b0904,b1300,b2954,b1781,b3001,b3029,b1380,b0325,b2660,b1771,b0221,b2285,b1011,,,,,,,
56,0.410413260724792,0.173849962783422,b3553,b3399,b4382,b2066,b4069,b4384,b2744,b3708,b0910,b3115,b1849,b2296,b2925,b2097,b0160,b0030,b1004,b3713,b1109,b0046,b3236,b2883,b1638,b1779,b2690,b1982,b4139,b2797,b3117,b1814,b4471,b2498,b1033,b2361,b2291,b0261,b1602,b2913,b2406,b2868,b1727,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b3927,b3825,b3029,b1380,b1771,b3662,b2285,b1007
