Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.803143615150374,0.837511736890193,b3942,b1732,b1479,b3236,b2463,b2210,b3551,b4219,b1832,b1778,b1710,b2480,b1206,b0606,b4209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.588804718730755,0.207086152442424,b3553,b1478,b3942,b1732,b1241,b0351,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b2463,b2210,b1033,b3551,b3945,b1602,b0153,b4219,b1832,b1778,b0584,b0529,b1380,b1710,b2480,b1206,b0606,b2285,b1010,,,,,,,,,,,,,
34,0.526377272275658,0.548902008630953,b4467,b1478,b3942,b1732,b1241,b0351,b2297,b2458,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b2690,b2463,b2210,b0675,b3551,b0822,b1602,b4219,b1832,b1778,b1380,b1710,b2480,b1695,b1771,b1206,b0606,b2285,b4209,,,,,,,,,,,
34,0.427161921560197,0.445441034443927,b3553,b3942,b1732,b1241,b0351,b0871,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b2463,b3946,b2210,b0825,b1033,b3551,b1602,b4219,b1832,b1778,b1727,b2492,b0904,b1380,b1710,b2480,b1771,b1206,b0606,b2285,b4209,,,,,,,,,,,
35,0.524384394996357,1.45077881605283,b3553,b1478,b3942,b1732,b1241,b0351,b2297,b2458,b2925,b2097,b2926,b3844,b1004,b3713,b1109,b0046,b2690,b2463,b2210,b1033,b3551,b2799,b3945,b1602,b4219,b1832,b1778,b1380,b1710,b2480,b1695,b1206,b0606,b2285,b1011,,,,,,,,,,
35,0.478418717041802,0.921207439180838,b3553,b1478,b3942,b1732,b1241,b4069,b2297,b2458,b2779,b3844,b1004,b3713,b1109,b0046,b2463,b0937,b2210,b1033,b3551,b0261,b2799,b3945,b1602,b4219,b1832,b1778,b2492,b0904,b1380,b1710,b2480,b1206,b0606,b2285,b1009,,,,,,,,,,
35,0.503172075442154,0.571316669648708,b3553,b1478,b3942,b1732,b1241,b0351,b3844,b1004,b3713,b1109,b0046,b2463,b2210,b1033,b3551,b2799,b3945,b1602,b0153,b4219,b1832,b1778,b0590,b0755,b3612,b0529,b2492,b0904,b1380,b1710,b2480,b1206,b0606,b2285,b1011,,,,,,,,,,
35,0.381143618432611,0.142407071322788,b4467,b1478,b3942,b1732,b1241,b0351,b0871,b2297,b2458,b2925,b2097,b3844,b1004,b3713,b1109,b0046,b1779,b2690,b2463,b2210,b3551,b2799,b3945,b1602,b4219,b1832,b1778,b2492,b0904,b1380,b1710,b2480,b1206,b0606,b2285,,,,,,,,,,
37,0.478405047388416,0.921288280724976,b3553,b1478,b3942,b1732,b1241,b4069,b3115,b1849,b2296,b2926,b3844,b1004,b3713,b1109,b0046,b2463,b2210,b1033,b3551,b2799,b3945,b1602,b0153,b4219,b1832,b1778,b0584,b2492,b0904,b1380,b1710,b2480,b1518,b1206,b0606,b2285,b1010,,,,,,,,
39,0.527369131104874,0.213546263822512,b4467,b2836,b3942,b1732,b1241,b0351,b2744,b2779,b2925,b2097,b1004,b3713,b1109,b0046,b2690,b2463,b2210,b4374,b0675,b3551,b2799,b3945,b1602,b0507,b2223,b4219,b1832,b1778,b3915,b1727,b0529,b1539,b1380,b1710,b2480,b1206,b0606,b2285,b4209,,,,,,
39,0.557311526678357,0.0984351482626282,b4269,b3942,b1732,b0493,b3588,b3003,b3011,b1241,b0351,b1479,b2926,b3236,b2463,b3962,b1525,b0104,b3616,b3589,b2210,b4267,b1415,b3551,b1014,b2799,b3945,b2913,b4219,b1832,b1778,b0114,b3927,b3821,b1380,b1710,b2480,b0508,b4266,b1206,b4209,,,,,,
42,0.5568407444294,0.0959918269812897,b3942,b1732,b1241,b0351,b4069,b1479,b3115,b1849,b2296,b2926,b3617,b3844,b3124,b3236,b2463,b3962,b0104,b2210,b4267,b3551,b1014,b3945,b4388,b4219,b1832,b1778,b2975,b0114,b3603,b0306,b1539,b3605,b3927,b3821,b1380,b0325,b1710,b2480,b0508,b0514,b4266,b1206,,,
42,0.577667519931559,0.0809473942773037,b4467,b2836,b1478,b4382,b3942,b1732,b1241,b0351,b4384,b2744,b3614,b0910,b2781,b3844,b1851,b1004,b3713,b1109,b0046,b1779,b2463,b1759,b2210,b4374,b0675,b3551,b2799,b3945,b1602,b0153,b4219,b1832,b1778,b0590,b0529,b1380,b3918,b1710,b2480,b1206,b0606,b2285,,,
45,0.442422066749994,1.47598873754908,b3553,b4269,b3942,b1732,b0493,b3588,b3003,b3011,b0871,b3844,b1004,b3713,b1109,b0046,b1779,b2463,b0207,b3012,b0937,b2210,b1033,b3551,b0261,b2799,b1602,b4219,b1832,b1778,b4381,b1727,b0114,b0529,b2492,b0904,b1781,b3001,b1380,b0325,b1710,b2480,b1771,b1206,b0606,b2285,b1009
