Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.606840382277319,0.970874521577821,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b0871,b3617,b0160,b1982,b3665,b0675,b2361,b4381,b2406,b0114,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.583338570661832,1.11795291219979,b3399,b1241,b0351,b4069,b2502,b4384,b2744,b2297,b2458,b0030,b2883,b1982,b3616,b3589,b1623,b4374,b2361,b2291,b0261,b0411,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.605571893887849,0.982733878055177,b4269,b3942,b1732,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3752,b0871,b2407,b1982,b3616,b3589,b4381,b2406,b0114,b0529,b2492,b0904,b0515,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.498605755609401,0.942852265233334,b3399,b3942,b1732,b1241,b0351,b4069,b2744,b0512,b2297,b2458,b2779,b2926,b3617,b3236,b2883,b1982,b0675,b2361,b0411,b4381,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.60463961479655,0.90465574526594,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b3617,b0160,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0114,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.380447870793375,0.728143935487364,b3399,b0474,b2518,b1241,b0351,b4069,b2502,b2744,b0512,b3115,b1849,b2296,b2926,b3617,b1982,b4374,b0675,b2361,b2291,b0114,b0529,b2492,b0904,b1511,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.751608861327554,0.318379509368523,b3399,b4069,b2502,b2744,b3708,b3008,b2297,b2458,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b2291,b0261,b4381,b0114,b2366,b2492,b0904,b1533,b3927,b3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.747007433663023,0.316814866505212,b2836,b4382,b4069,b4384,b3708,b3008,b2297,b2458,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b3665,b2406,b0114,b2366,b2492,b0904,b1533,b3927,b1511,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.694492645377686,0.159410600908277,b4384,b2744,b3708,b3008,b3752,b0871,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b0114,b0529,b1539,b2492,b0904,b2947,b1533,b3927,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.605571893887822,0.982733878025333,b3399,b4269,b3942,b1732,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0512,b0871,b0160,b1238,b1982,b3616,b3589,b0675,b2361,b4381,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.501544857112745,0.948410040251626,b3399,b3942,b1732,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b1779,b1982,b3616,b3589,b0675,b2361,b4381,b0112,b0114,b0755,b3612,b0529,b2492,b0904,b0515,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.604639614796521,0.904655745262837,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b3617,b0160,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0114,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
