Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.398913197981205,0.420663022560017,b2836,b2744,b3614,b0910,b4152,b3115,b1849,b2296,b2781,b3844,b1612,b1611,b4122,b2029,b1759,b4374,b0675,b2361,b2291,b4138,b4123,b0621,b2913,b2223,b2197,b3918,b0789,b1249,b1206,,,,,,,,,,,,
32,0.567937462995036,0.299393061089727,b4382,b0474,b2518,b3831,b4384,b3752,b4152,b2297,b2458,b1702,b2781,b3236,b1612,b1611,b4122,b1759,b2210,b4161,b4138,b4123,b0621,b2406,b2943,b0452,b2150,b2197,b3918,b3437,b4268,b4042,b1206,b4209,,,,,,,,,
34,0.527675407697238,0.278689128196499,b4467,b2242,b2744,b3614,b0910,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b4374,b0675,b2361,b2291,b1415,b1701,b1805,b4138,b4123,b0621,b2492,b0904,b2197,b3028,b3918,b0789,b1249,b1206,b2285,,,,,,,
34,0.119297243001979,0.0630062423976558,b4467,b2242,b2744,b1278,b3614,b0910,b2297,b2458,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b4374,b0675,b2361,b2291,b1415,b4138,b4123,b0621,b3731,b2197,b3028,b3918,b1206,b2285,b3893,b1474,,,,,,,
35,0.527675407697238,0.278689128196908,b4467,b2242,b3831,b3614,b0910,b2781,b0030,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b0651,b2162,b1759,b2210,b1701,b1805,b4138,b4123,b0621,b4381,b2406,b0306,b3605,b2197,b3028,b3918,b4042,b1206,b2285,b3893,b1474,,,,,,
36,0.527675407697238,0.27868912819971,b4467,b2242,b3831,b2744,b3614,b0910,b3752,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b4374,b2361,b2291,b0411,b1701,b1805,b4138,b4123,b0621,b0306,b3605,b2197,b3028,b3918,b1912,b1206,b2285,b3893,b1474,,,,,
36,0.517385053238777,0.273254328943118,b2242,b3553,b3831,b3614,b0910,b2781,b0030,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b0651,b2162,b1759,b2210,b1033,b1415,b2342,b3845,b4138,b4123,b0621,b4381,b2406,b0452,b2492,b0904,b2197,b3028,b3918,b1912,b1206,b2285,,,,,
37,0.243547755480072,0.128589269416278,b4467,b2242,b4382,b4384,b2744,b3614,b0910,b2781,b3844,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b4374,b0675,b4138,b4123,b0621,b2406,b3731,b0452,b0306,b3605,b2197,b3028,b3918,b0789,b1249,b1206,b2285,b3893,b1474,,,,
38,0.517480823469646,0.272958714840299,b2242,b3553,b4382,b0474,b2518,b3831,b4384,b2781,b0030,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b0651,b2162,b1759,b2210,b1033,b4161,b4138,b4123,b0621,b2406,b0452,b0306,b3605,b2492,b0904,b2197,b3028,b3918,b4042,b1206,b0221,b2285,,,
39,0.517385053238773,0.273254328938947,b2242,b3553,b3846,b2341,b3831,b2744,b3614,b0910,b3752,b2781,b1004,b3713,b1109,b0046,b3236,b1612,b1611,b4122,b1759,b1033,b4374,b2361,b2291,b1415,b4014,b2976,b0411,b4138,b4123,b0621,b0452,b2492,b0904,b2197,b3028,b3918,b4042,b1206,b2285,,
41,0.3281974271622,0.346347893479162,b4467,b2836,b2242,b2744,b3614,b0910,b2781,b1004,b3713,b1109,b0046,b3236,b1612,b1611,b4122,b1638,b1759,b4374,b0675,b2361,b2291,b1852,b4014,b2976,b4138,b4123,b0621,b2913,b2223,b0306,b3605,b2133,b2197,b3029,b3028,b3918,b1912,b1206,b2285,b3893,b1474
