Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.705765133555426,0.162418200692714,b3399,b2744,b3708,b3008,b0871,b2779,b3236,b2883,b2797,b3117,b1814,b4471,b2210,b2440,b4381,b0511,b0114,b2366,b2492,b0904,b1533,b0515,b1511,,,,,,,,,,,,,,,,,,,
23,0.795022374946949,0.0208025554842508,b3399,b3942,b1732,b0474,b2744,b3708,b3008,b0871,b3236,b2883,b2797,b3117,b1814,b4471,b0261,b4381,b0114,b2366,b2492,b0904,b1533,b3821,b0516,,,,,,,,,,,,,,,,,,,
23,0.691486196671413,0.0180934278388286,b0469,b4269,b0493,b3588,b3003,b3011,b2066,b0238,b0125,b0474,b1241,b0351,b0910,b0871,b2883,b0477,b2498,b3616,b3589,b2868,b0114,b2492,b0904,,,,,,,,,,,,,,,,,,,
23,0.682077796161161,0.0178472476080347,b0238,b0125,b1241,b0351,b3831,b4069,b2744,b0910,b3115,b1849,b2296,b3617,b2883,b0477,b2498,b0675,b2361,b2291,b2868,b0114,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,
23,0.702216325656732,0.0133800689102145,b3399,b2744,b3708,b3008,b0512,b0871,b2926,b3236,b2883,b2797,b3117,b1814,b4471,b2210,b4381,b0452,b0511,b0114,b1539,b2492,b0904,b1533,b1511,,,,,,,,,,,,,,,,,,,
24,0.581647338860912,0.94390864362521,b3399,b4269,b3942,b1732,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0871,b2926,b3617,b3236,b2883,b2210,b4381,b0114,b0529,b2492,b0904,b0516,b1518,,,,,,,,,,,,,,,,,,
24,0.581647338860912,0.94390864362521,b3399,b4269,b3942,b1732,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0871,b3617,b3236,b2883,b1779,b2210,b4381,b0114,b0529,b2492,b0904,b0515,b1517,,,,,,,,,,,,,,,,,,
24,0.755457611334075,0.182714977868239,b3399,b1241,b0351,b2744,b0871,b3115,b1849,b2296,b2925,b2097,b2883,b1982,b3616,b3589,b3946,b0825,b0675,b2361,b4381,b0114,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,
24,0.798040804940032,0.162772126759992,b3399,b4384,b2744,b3708,b3008,b3752,b0871,b2883,b1982,b2797,b3117,b1814,b4471,b1623,b4381,b2239,b3453,b0114,b1539,b2492,b0904,b1533,b2835,b1511,,,,,,,,,,,,,,,,,,
24,0.784687134155008,0.108278036008235,b0469,b0238,b0125,b0474,b3831,b3708,b3008,b0512,b0871,b3236,b2883,b0477,b2797,b3117,b1814,b4471,b2498,b3449,b2210,b2943,b0114,b1539,b2492,b0904,,,,,,,,,,,,,,,,,,
25,0.505642398827916,0.0815193641244748,b4467,b0238,b0125,b2744,b0871,b2926,b1004,b3713,b1109,b0046,b2883,b0477,b2210,b4374,b2361,b2291,b0505,b1602,b0114,b0529,b2492,b0904,b1380,b1511,b2285,,,,,,,,,,,,,,,,,
26,0.654013478214958,0.978966615004917,b3399,b1241,b0351,b4069,b2744,b3708,b3115,b1849,b2296,b1238,b2883,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0675,b2361,b4381,b0114,b2366,b2492,b0904,b1518,,,,,,,,,,,,,,,,
29,0.510815112939134,0.141831187483251,b3553,b3399,b0238,b0125,b4069,b2744,b3926,b2297,b2458,b1004,b3713,b1109,b0046,b3236,b2883,b0477,b1033,b4374,b2361,b2291,b1602,b0114,b0529,b2492,b0904,b1380,b2660,b1511,b2285,,,,,,,,,,,,,
29,0.779645066719877,0.0204001928161396,b3399,b0474,b2518,b3831,b2744,b3708,b3008,b0910,b0512,b0871,b2883,b2388,b2797,b3117,b1814,b4471,b0675,b2361,b2291,b3565,b4381,b0511,b0114,b2366,b2492,b0904,b1533,b3821,b1518,,,,,,,,,,,,,
32,0.490041483366853,0.066175061898266,b4467,b3399,b4069,b4384,b2744,b3115,b1849,b2296,b0030,b1004,b3713,b1109,b0046,b3236,b2883,b1638,b1779,b1982,b4139,b1623,b0261,b1602,b4381,b1727,b0114,b0529,b2492,b0904,b3029,b1380,b2660,b2285,,,,,,,,,,
32,0.572669140006647,0.0149844607040118,b4467,b3399,b0474,b2744,b3708,b3008,b0910,b0871,b1004,b3713,b1109,b0046,b2883,b0517,b0477,b2797,b3117,b1814,b4471,b2210,b0507,b4381,b0114,b1539,b2492,b0904,b1533,b3927,b3821,b1380,b1518,b2285,,,,,,,,,,
33,0.49002244794181,0.0662665756662873,b3553,b3399,b4069,b4384,b2744,b3115,b1849,b2296,b0030,b1004,b3713,b1109,b0046,b3236,b2883,b1638,b1779,b1982,b4139,b1033,b1623,b1602,b4381,b1727,b0114,b0529,b2492,b0904,b3029,b1380,b2660,b1518,b2285,,,,,,,,,
33,0.490057106162318,0.0642982226412772,b4467,b3399,b4069,b4384,b2744,b3115,b1849,b2296,b0030,b1004,b3713,b1109,b0046,b3236,b2883,b1638,b1982,b4139,b1623,b0261,b1602,b2913,b4381,b1727,b0114,b0755,b3612,b0529,b2492,b0904,b3029,b1380,b2285,,,,,,,,,
38,0.446656976213729,0.337772597592966,b4467,b1478,b3399,b1241,b3831,b4069,b2744,b2297,b2458,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b2883,b1638,b0937,b1982,b4139,b0675,b2361,b4015,b0261,b2799,b3945,b1602,b4381,b0529,b2492,b0904,b2954,b3029,b1380,b2660,b2285,b1011,,,,
40,0.367295243245869,0.00961064732234718,b3553,b3399,b4269,b0493,b3588,b3003,b3011,b2744,b3926,b2930,b4232,b3697,b3925,b0871,b1004,b3713,b1109,b0046,b3236,b2883,b2690,b1982,b1033,b0675,b2361,b2291,b3945,b1602,b4381,b2943,b0114,b0529,b2492,b0904,b1380,b3437,b4268,b2660,b1511,b2285,,
42,0.421130661825978,0.108954784562162,b0469,b3942,b1732,b0474,b1241,b0351,b4069,b2744,b1479,b2297,b2458,b2779,b2926,b3617,b3236,b2883,b2463,b3962,b0104,b2210,b4267,b1415,b3551,b1014,b3945,b4219,b1832,b1778,b4381,b2868,b0114,b0529,b2492,b0904,b1380,b0325,b1710,b2480,b0508,b4266,b1813,b4209
