Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.406476953997028,0.437519627081259,b4467,b1478,b4269,b0493,b3588,b3003,b3011,b1241,b4384,b3752,b0871,b2779,b2407,b1004,b3713,b1109,b0046,b3236,b1982,b0261,b0411,b2799,b3945,b1602,b2913,b4381,b3915,b0529,b2492,b0904,b1380,b1695,b0606,b2285,b1011,b4209,,,,,,,,,,,,,
36,0.363572075816585,0.572303894551552,b4467,b1478,b1241,b4069,b4384,b2297,b2458,b0030,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b3665,b0411,b2799,b3945,b1602,b0153,b2913,b4381,b3654,b3714,b3664,b0529,b2492,b0904,b0591,b1380,b1511,b0606,b2285,b1009,,,,,,,,,,,,,
36,0.36542831897794,0.601809920890872,b4467,b1478,b4382,b1241,b4069,b4384,b3752,b2297,b2458,b2779,b2407,b1004,b3713,b1109,b0046,b3236,b3665,b0411,b2799,b3945,b1602,b3915,b0452,b3654,b3714,b3664,b0529,b2492,b0904,b1380,b2660,b1517,b0606,b2285,b1010,b4209,,,,,,,,,,,,,
37,0.452892231224852,0.105232982149463,b4467,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b1982,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b0153,b4381,b1727,b0529,b2492,b0904,b0591,b3927,b1380,b2660,b0606,b2285,b1011,,,,,,,,,,,,
37,0.492153474969104,0.091917412885245,b4467,b3399,b4269,b0493,b3588,b3003,b3011,b2502,b2744,b0871,b2926,b1238,b1004,b3713,b1109,b0046,b3236,b1982,b0675,b2361,b0261,b2799,b3945,b1602,b2913,b4381,b3915,b1727,b0114,b0529,b2492,b0904,b1380,b0606,b2285,b1010,b4209,,,,,,,,,,,,
38,0.712210083320207,0.301690292180042,b3399,b4069,b4384,b2744,b3708,b3008,b3752,b2297,b2458,b1238,b0583,b2883,b2388,b1982,b0394,b2797,b3117,b1814,b4471,b1623,b0261,b0411,b4381,b2406,b0653,b4077,b2663,b0114,b1539,b2492,b0904,b3653,b2578,b1533,b3927,b3825,b0494,b3662,,,,,,,,,,,
38,0.35712631322464,0.0390033555102708,b3553,b4382,b4069,b4384,b0871,b2297,b2458,b2779,b2925,b2097,b0030,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b2690,b1982,b4139,b1033,b0261,b2799,b3945,b1602,b2406,b1727,b0114,b0529,b2492,b0904,b3927,b3029,b1380,b2660,b3662,b2285,,,,,,,,,,,
39,0.574037536021652,0.692541844957663,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3708,b3008,b3752,b0871,b3617,b2407,b2797,b3117,b1814,b4471,b2406,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3821,b4141,b1798,b3662,b1518,,,,,,,,,,
41,0.411704411413463,0.364922192120819,b4467,b3399,b4069,b2502,b2744,b3115,b1849,b2296,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b0675,b2361,b0411,b2799,b3945,b1602,b0153,b4381,b3654,b2868,b3714,b3664,b1727,b4064,b4464,b0114,b0529,b2492,b0904,b0591,b1380,b2660,b1511,b0606,b2285,b1007,,,,,,,,
41,0.449213275496133,0.228488044637938,b4467,b1478,b3399,b1241,b4069,b2744,b2297,b2458,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b2883,b1638,b4139,b1623,b3665,b4015,b0411,b2799,b3945,b1602,b0153,b2913,b4381,b3654,b3714,b3664,b0529,b2492,b0904,b2954,b3035,b3029,b1380,b1517,b2285,b1009,,,,,,,,
41,0.452126901257223,0.209226696954212,b4467,b3399,b4069,b2502,b2744,b2297,b2458,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b1638,b4139,b1623,b3665,b4374,b0675,b2361,b2291,b0411,b3945,b1602,b0153,b2913,b0590,b3654,b3714,b3664,b1727,b0114,b0529,b2492,b0904,b2954,b3029,b1380,b1511,b2285,,,,,,,,
42,0.434218793470148,0.291588123954782,b4467,b3399,b4269,b0493,b3588,b3003,b3011,b2502,b2744,b0871,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b0207,b3012,b1982,b4374,b0675,b2361,b2291,b0261,b2799,b1602,b3915,b1727,b0114,b0529,b2492,b0904,b1781,b3001,b1380,b0325,b2660,b1771,b0606,b2285,b1011,,,,,,,
42,0.460445975769513,0.179240394994622,b4467,b1478,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b2744,b0871,b1004,b3713,b1109,b0046,b3236,b1638,b1982,b4139,b0675,b2361,b4015,b0261,b2799,b3945,b1602,b2913,b4381,b3915,b0452,b2868,b0755,b3612,b0529,b2492,b0904,b2954,b1298,b3029,b1380,b2285,b1011,,,,,,,
45,0.424945380836023,0.354159530341425,b4467,b2836,b1478,b3399,b1241,b4069,b2502,b2744,b3708,b3115,b1849,b2296,b2926,b1004,b3713,b1109,b0046,b3236,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b2799,b3945,b1602,b2913,b2223,b3915,b2366,b2492,b0904,b1533,b1380,b4141,b1798,b0606,b2285,b1007,b4209,,,,
45,0.35464795488931,0.072124518157902,b3399,b0474,b2518,b1241,b0351,b2502,b2744,b3708,b3008,b2930,b4232,b3697,b3925,b0512,b0871,b2926,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b3946,b0825,b0675,b2361,b0261,b4381,b2406,b0653,b4077,b2663,b0114,b2366,b0529,b2492,b0904,b3653,b1533,b3927,b3825,b2413,b0494,b2285,,,,
48,0.372026080840792,0.585111831185614,b4467,b1478,b4382,b0238,b0125,b0474,b2518,b1241,b4069,b4384,b3752,b2297,b2458,b2926,b2781,b0099,b0160,b3844,b1004,b3713,b1109,b0046,b3236,b0207,b3012,b0937,b1982,b0477,b0261,b2799,b1602,b2406,b2868,b4064,b4464,b0529,b2492,b0904,b1781,b3001,b1380,b0325,b2660,b1771,b3662,b0606,b2285,b1007,
49,0.446737668452085,0.0582671750718653,b3500,b4467,b4382,b0474,b2518,b1241,b0351,b4069,b4384,b2744,b3752,b2297,b2458,b2926,b2781,b0099,b0160,b2235,b1004,b3713,b1109,b0046,b3236,b2883,b1982,b2361,b2291,b0261,b0411,b2799,b3945,b1602,b2913,b3915,b2868,b1727,b4064,b4464,b0529,b2492,b0904,b2954,b3927,b1380,b0606,b0221,b2285,b1011,b4209
