Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.455694807552353,1.52598389020552,b1241,b0351,b4069,b4384,b2297,b2458,b3617,b0030,b2407,b1982,b4381,b0114,b0529,b2492,b0904,b0515,b1511,b2285,,,,,,,,,,,,,,,,,,,,,,
20,0.721986774368011,0.381255512808745,b3831,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b4381,b2406,b0452,b3825,b3918,b1206,,,,,,,,,,,,,,,,,,,,
20,0.721984921211625,0.381254534229523,b2836,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,,,
21,0.564467514973772,2.16357406811571,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b0160,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,
21,0.442828674481704,1.69852827715343,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b3617,b2407,b1612,b1611,b4122,b4381,b2868,b0114,b0529,b2492,b0904,b1517,b2285,,,,,,,,,,,,,,,,,,,
21,0.442856466778016,1.69497865517116,b4382,b1241,b0351,b4069,b4384,b0512,b2297,b2458,b0030,b2407,b1612,b1611,b4122,b3616,b3589,b0261,b0114,b0529,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,
21,0.473808471824681,1.54023810166894,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b0030,b2407,b1982,b3616,b3589,b0261,b4381,b0114,b0529,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,
21,0.375437473417505,1.43953502362632,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b2407,b1612,b1611,b4122,b1779,b3616,b3589,b4381,b0114,b0529,b2492,b0904,b1517,b2285,,,,,,,,,,,,,,,,,,,
21,0.571962181689557,0.778482262952476,b2066,b1241,b0351,b4069,b4384,b3752,b0871,b2297,b2458,b2925,b2097,b2926,b3617,b2407,b1982,b3946,b0825,b0114,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,
21,0.726226311379144,0.383552795223441,b4382,b3831,b4384,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b3825,b3918,b0494,b1206,,,,,,,,,,,,,,,,,,,
21,0.724946720230213,0.382876985555957,b0474,b2518,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b3821,b3918,b4042,b1206,,,,,,,,,,,,,,,,,,,
21,0.699481384189131,0.369371217483,b2836,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b4388,b4138,b4123,b0621,b4381,b0529,b3918,b4042,b1206,,,,,,,,,,,,,,,,,,,
21,0.699479344942894,0.369370140501169,b2836,b2744,b1278,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b0907,b1759,b4374,b0675,b4138,b4123,b0621,b4381,b0529,b3918,b1206,,,,,,,,,,,,,,,,,,,
21,0.366878303719729,0.295820580009948,b1241,b0351,b2744,b1278,b0871,b2925,b2097,b1779,b2690,b3616,b3589,b0675,b0822,b4381,b2868,b1727,b0114,b0529,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,
21,0.627029429358709,0.0600310700158491,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b0871,b2779,b2925,b2097,b3617,b2690,b3945,b4381,b0511,b0114,b0529,b2492,b0904,b0516,,,,,,,,,,,,,,,,,,,
21,0.720720324165067,0.380586745547935,b2836,b0474,b2518,b2744,b1278,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b4138,b4123,b0621,b4381,b2406,b3918,b1206,,,,,,,,,,,,,,,,,,,
22,0.546761665956553,2.09644114787686,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b3617,b1238,b1612,b1611,b4122,b1982,b0675,b2361,b4381,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,
22,0.510663077059947,1.95802879772644,b4382,b1241,b0351,b4069,b4384,b2297,b2458,b3617,b0030,b2407,b1612,b1611,b4122,b2868,b0114,b0755,b3612,b0529,b2492,b0904,b1813,b1517,,,,,,,,,,,,,,,,,,
22,0.43956897394501,1.46602202875679,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b3617,b0160,b0517,b1982,b0675,b2361,b4388,b4381,b0114,b0529,b2492,b0904,b1517,b2285,,,,,,,,,,,,,,,,,,
22,0.346203540340182,1.05237186559195,b2066,b0238,b0125,b1241,b0351,b4069,b4384,b0871,b2297,b2458,b2925,b2097,b2926,b3617,b0517,b0477,b3946,b0825,b0114,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,
22,0.612541943277289,0.48700392208446,b4382,b1241,b0351,b4384,b3752,b0871,b2297,b2458,b2925,b2097,b2407,b1779,b2690,b1982,b3616,b3589,b3945,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,
22,0.721984785076539,0.381312654303788,b3831,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b2342,b3845,b4138,b4123,b0621,b4381,b2406,b0452,b3918,b0789,b1249,b1206,,,,,,,,,,,,,,,,,,
22,0.703461667011893,0.371529762154174,b3831,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b0411,b1701,b1805,b4388,b4138,b4123,b0621,b4381,b0529,b3918,b4042,b1206,,,,,,,,,,,,,,,,,,
22,0.592012348052536,0.312668361597501,b3831,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b0907,b1759,b0411,b4138,b4123,b0621,b4381,b0529,b3825,b3918,b1912,b1206,b2285,,,,,,,,,,,,,,,,,,
22,0.586153180895765,0.309479383755682,b3831,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b0411,b4138,b4123,b0621,b2913,b4381,b0452,b0529,b3918,b4042,b1206,b2285,,,,,,,,,,,,,,,,,,
23,0.564452410771996,2.16351617451087,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b3617,b0030,b2883,b1982,b0261,b4381,b2406,b0112,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,
23,0.473786776474768,1.53774083941848,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b0871,b3617,b2407,b1982,b0675,b2361,b4381,b0114,b0529,b2492,b0904,b1517,b2285,,,,,,,,,,,,,,,,,
23,0.533580994007196,0.454812956943376,b4382,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b2779,b2925,b2097,b2407,b0907,b2690,b3616,b3589,b3945,b2868,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,
23,0.726228080439154,0.383553729561839,b3831,b2744,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b2361,b2291,b0411,b4138,b4123,b0621,b3825,b3918,b0494,b1206,,,,,,,,,,,,,,,,,
23,0.724946720230191,0.382876985554505,b4382,b0474,b2518,b4384,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b4138,b4123,b0621,b2406,b3825,b3918,b1912,b0494,b1206,,,,,,,,,,,,,,,,,
23,0.622509032272693,0.155293717759421,b0474,b2518,b2744,b4152,b2779,b2781,b1612,b1611,b4122,b1779,b1759,b4374,b4161,b0675,b4138,b4123,b0621,b4381,b0452,b3918,b1912,b1206,b3924,,,,,,,,,,,,,,,,,
24,0.593231841821588,1.92845493535725,b3399,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b4384,b2744,b0871,b3617,b2407,b1982,b0675,b2361,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,
24,0.348549910496316,0.184084892499406,b3831,b0910,b3752,b4152,b0871,b2925,b2097,b1612,b1611,b4122,b1779,b3946,b0825,b4138,b4123,b0621,b4381,b2406,b0114,b0529,b2492,b0904,b1206,b2285,,,,,,,,,,,,,,,,
24,0.460520524857353,0.145029671575669,b1241,b0351,b4069,b4384,b0512,b2297,b2458,b2926,b3617,b0030,b2407,b1851,b1612,b1611,b4122,b2388,b0394,b4381,b0114,b0529,b2492,b0904,b1380,b1518,,,,,,,,,,,,,,,,
24,0.348549910496316,0.184084892499161,b3831,b0910,b3752,b4152,b0871,b2925,b2097,b1612,b1611,b4122,b1779,b2690,b3945,b4138,b4123,b0621,b4381,b2406,b0114,b0529,b2492,b0904,b1206,b2285,,,,,,,,,,,,,,,,
25,0.564467514973765,2.16357406811031,b3399,b1241,b0351,b4069,b4384,b2744,b3752,b2297,b2458,b3617,b0160,b2883,b1982,b1623,b4374,b2361,b2291,b0261,b0411,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,
25,0.457503280783548,1.7546097198602,b1241,b0351,b4069,b4152,b2297,b2458,b3617,b3124,b1612,b1611,b0517,b4122,b0907,b1779,b0261,b4138,b4123,b0621,b4381,b0114,b0529,b2492,b0904,b0514,b1206,,,,,,,,,,,,,,,
25,0.410101638769411,0.330397975129625,b4467,b0871,b3115,b1849,b2296,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b2690,b0675,b0822,b1602,b4381,b1727,b0114,b2492,b0904,b1380,b2660,b1771,b2285,,,,,,,,,,,,,,,
25,0.59285138276566,0.313111493672012,b2744,b3614,b0910,b4152,b0871,b2925,b2097,b2926,b1612,b1611,b4122,b2690,b4374,b0675,b3945,b4138,b4123,b0621,b4381,b0114,b0529,b2492,b0904,b2835,b1206,,,,,,,,,,,,,,,
26,0.470980019001528,1.80282909115347,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b3617,b0030,b2407,b3124,b1612,b1611,b0517,b4122,b0907,b0507,b4381,b0511,b0114,b0755,b3612,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,
26,0.585921549418477,1.75329992604873,b2836,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,
26,0.532054581973089,1.73101138360486,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b4152,b0871,b3617,b1612,b1611,b4122,b4138,b4123,b0621,b2913,b4381,b2868,b0114,b0529,b2492,b0904,b1518,b1206,,,,,,,,,,,,,,
26,0.448208742051202,1.19810563303056,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b2925,b2097,b3617,b1612,b1611,b4122,b3946,b0825,b4374,b2361,b2291,b0261,b0114,b0529,b2492,b0904,b0516,b2285,,,,,,,,,,,,,,
27,0.489959545488695,1.56841685062891,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0871,b2779,b0160,b1612,b1611,b4122,b3616,b3589,b0675,b2361,b4388,b4381,b0114,b0529,b2492,b0904,b0515,b1511,,,,,,,,,,,,,
27,0.518516113601997,0.845513633701339,b1241,b0351,b3831,b4069,b3614,b0910,b3752,b4152,b3115,b1849,b2296,b1612,b1611,b4122,b0907,b3616,b3589,b4138,b4123,b0621,b4381,b0114,b0529,b2492,b0904,b1518,b1206,,,,,,,,,,,,,
27,0.586275696491595,0.309638577739874,b0474,b2518,b3831,b0910,b3752,b2930,b4232,b3697,b3925,b4152,b0871,b1612,b1611,b4122,b1779,b2690,b3449,b3945,b4138,b4123,b0621,b4381,b0114,b0529,b2492,b0904,b1206,,,,,,,,,,,,,
27,0.373491078843768,0.270830333039543,b4467,b3399,b2744,b2930,b4232,b3697,b3925,b0871,b2926,b1004,b3713,b1109,b0046,b2690,b2210,b0675,b0822,b4381,b1727,b0114,b0529,b2492,b0904,b1380,b0789,b1249,b2285,,,,,,,,,,,,,
27,0.344145317601122,0.181758628766549,b0474,b2518,b3831,b3752,b2930,b4232,b3697,b3925,b4152,b0871,b2926,b1612,b1611,b4122,b3946,b0825,b4138,b4123,b0621,b4381,b2406,b0114,b0529,b2492,b0904,b1206,b2285,,,,,,,,,,,,,
27,0.349186256018782,0.0872867867046764,b3831,b3614,b0910,b4152,b0871,b2779,b2925,b2097,b0030,b1612,b1611,b4122,b0651,b2162,b2690,b3945,b4138,b4123,b0621,b2913,b4381,b0114,b0529,b2492,b0904,b1206,b2285,,,,,,,,,,,,,
28,0.620471125051724,0.429343061025099,b2836,b2744,b3708,b3008,b0871,b2925,b2097,b1612,b1611,b2883,b4122,b1779,b2797,b3117,b1814,b4471,b3946,b0825,b4381,b2868,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b3927,,,,,,,,,,,,
29,0.593231841821559,1.92845493534675,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b4384,b2744,b3752,b0871,b2883,b1982,b3616,b3589,b1623,b4374,b2361,b2291,b0261,b0411,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,
29,0.369000793022213,1.7369911598975,b4467,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b2779,b2925,b2097,b2407,b1004,b3713,b1109,b0046,b2690,b3616,b3589,b2210,b4374,b2361,b2291,b3945,b0114,b2492,b0904,b1380,b2285,,,,,,,,,,,
29,0.40871068994922,0.322949291036465,b4467,b1478,b1241,b4069,b3115,b1849,b2296,b2779,b2925,b2097,b3844,b1004,b3713,b1109,b0046,b3236,b3946,b2210,b0825,b2799,b3945,b1602,b2913,b2492,b0904,b1380,b0606,b2285,b1007,,,,,,,,,,,
29,0.580913950089942,0.306806798076741,b4382,b0474,b2518,b3831,b4384,b0910,b3752,b2930,b4232,b3697,b3925,b4152,b0871,b2926,b2407,b1612,b1611,b4122,b2690,b3945,b4138,b4123,b0621,b0452,b0114,b0529,b2492,b0904,b1206,,,,,,,,,,,
29,0.491327314577348,0.290419808816679,b4467,b1478,b1241,b4069,b4384,b2297,b2458,b2926,b2407,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b2799,b3945,b1602,b2975,b3603,b2492,b0904,b1380,b2660,b1517,b0606,b2285,b1011,,,,,,,,,,,
29,0.348549910496316,0.184084892467137,b2744,b0910,b2930,b4232,b3697,b3925,b4152,b0871,b2926,b1612,b1611,b4122,b2690,b4374,b0675,b0822,b4138,b4123,b0621,b4381,b2406,b1727,b0114,b0529,b2492,b0904,b1912,b1206,b2285,,,,,,,,,,,
30,0.572268880802718,0.389286478413523,b4382,b4384,b3708,b3008,b0871,b0030,b2407,b0583,b1982,b2797,b3117,b1814,b4471,b2440,b0261,b2406,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b0494,b1600,b4141,b1798,b3662,b2285,,,,,,,,,,
30,0.487733891910841,0.0289450555410002,b4467,b1241,b0351,b0871,b3844,b1004,b3713,b1109,b0046,b3236,b1612,b1611,b4122,b1779,b0937,b2799,b3945,b1602,b4381,b1727,b0529,b2492,b0904,b3927,b1380,b2660,b1517,b0606,b2285,b1009,,,,,,,,,,
31,0.489948024713587,1.87860134184404,b3399,b4382,b3942,b1732,b1241,b0351,b4069,b4384,b2744,b1479,b2297,b2458,b2926,b3617,b2407,b3236,b2463,b2210,b3551,b4219,b1832,b1778,b0114,b0529,b2492,b0904,b1710,b2480,b1518,b0606,b4209,,,,,,,,,
31,0.448104969297946,1.45768501686479,b4382,b4269,b0493,b3588,b3003,b3011,b0238,b0125,b1241,b0351,b4384,b4152,b0871,b3617,b1612,b1611,b2883,b4122,b0477,b0261,b0411,b4138,b4123,b0621,b2406,b0114,b0529,b2492,b0904,b1206,b2285,,,,,,,,,
32,0.451782580864074,1.73287217598322,b3399,b4382,b0474,b2518,b1241,b0351,b4069,b2502,b4384,b2744,b4152,b2297,b2458,b2926,b2781,b0099,b1612,b1611,b2883,b4122,b0907,b3616,b3589,b4138,b4123,b0621,b0114,b0529,b2492,b0904,b1518,b1206,,,,,,,,
32,0.372010505372952,0.47366125994775,b3399,b4069,b2502,b2744,b3708,b0871,b2297,b2458,b2779,b2925,b2097,b1238,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b2440,b0675,b2361,b4381,b0114,b2366,b2492,b0904,b1533,b3927,b1813,b1517,b2285,,,,,,,,
32,0.38324267582112,0.457529746294997,b2836,b3399,b4069,b2744,b3708,b3008,b2297,b2458,b2779,b2925,b2097,b1612,b1611,b2883,b4122,b2690,b2797,b3117,b1814,b4471,b0411,b3945,b4381,b0114,b1539,b2492,b0904,b1533,b3927,b0515,b1511,b2285,,,,,,,,
32,0.465211425740988,0.272746325678073,b4467,b1478,b0469,b0474,b1241,b4069,b3115,b1849,b2296,b2926,b1004,b3713,b1109,b0046,b3236,b1612,b1611,b4122,b1638,b2799,b3945,b1602,b2913,b4381,b3915,b2492,b0904,b3029,b1380,b0221,b2285,b1009,,,,,,,,
32,0.500249825311627,0.196953025220867,b4467,b1478,b4269,b0493,b3588,b3003,b3011,b1241,b4384,b0871,b2926,b1004,b3713,b1109,b0046,b3236,b0477,b2799,b3945,b1602,b3915,b2492,b0904,b1380,b0723,b2660,b1518,b0606,b0221,b2285,b1007,b4209,,,,,,,,
32,0.560304458935137,0.102796348711698,b2242,b3553,b0474,b2518,b3831,b1278,b3752,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b1033,b4161,b1415,b4138,b4123,b0621,b4381,b2406,b0452,b3028,b3918,b1206,b2285,b3893,b1474,,,,,,,,
33,0.628118370775116,0.799329620038885,b4069,b4384,b2744,b3708,b3008,b2297,b2458,b2925,b2097,b2926,b0030,b2407,b2690,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b3945,b2406,b2868,b0114,b1539,b2492,b0904,b1533,b3927,b3821,b3662,b1518,,,,,,,
33,0.558862755830951,0.452607974209953,b3399,b4382,b0238,b0125,b1241,b0351,b4069,b4384,b2744,b2930,b4232,b3697,b3925,b3115,b1849,b2296,b2883,b1779,b2690,b0477,b3616,b3589,b1623,b3665,b3945,b4064,b4464,b0114,b0529,b2492,b0904,b2954,b1511,,,,,,,
33,0.464849091292753,0.393671689033234,b4467,b2836,b3399,b4269,b0493,b3588,b3003,b3011,b3831,b2744,b3752,b0871,b1004,b3713,b1109,b0046,b3236,b1779,b3945,b1602,b4381,b3915,b1727,b0114,b0529,b2492,b0904,b1380,b2660,b1518,b0606,b2285,b4209,,,,,,,
34,0.485852914993454,0.284582838635954,b4467,b1478,b0474,b2518,b1241,b4069,b3115,b1849,b2296,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b0207,b3012,b4015,b2799,b1602,b3915,b2492,b0904,b1781,b3001,b1380,b0325,b2660,b1771,b1517,b0606,b2285,b1007,,,,,,
34,0.34918356972468,0.0872861152200984,b4467,b2242,b2744,b3614,b0910,b0871,b2779,b2925,b2097,b2926,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b2690,b2210,b4374,b0675,b1415,b3945,b4138,b4123,b0621,b4381,b0114,b0529,b2492,b0904,b3028,b1206,b2285,,,,,,
35,0.494508324203075,0.167177687397925,b4467,b1478,b0469,b4269,b0493,b3588,b3003,b3011,b1241,b4384,b0871,b2779,b1004,b3713,b1109,b0046,b3236,b0477,b2210,b2799,b3945,b1602,b0507,b4381,b3915,b0452,b1539,b2492,b0904,b1380,b2660,b0606,b2285,b1008,b4209,,,,,
35,0.565137145470245,0.140777870351801,b2242,b3553,b0474,b2518,b3831,b2781,b0030,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b0651,b2162,b1759,b2210,b1033,b4161,b1415,b1701,b1805,b4138,b4123,b0621,b4381,b2406,b3028,b3918,b4042,b1206,b2285,b3893,b1474,,,,,
37,0.394852838169761,0.471390401580499,b2836,b3399,b4069,b4384,b2744,b3708,b3008,b3752,b2930,b4232,b3697,b3925,b2297,b2458,b2926,b2883,b2690,b1982,b2797,b3117,b1814,b4471,b1623,b0411,b3945,b4381,b2406,b0511,b0114,b2366,b2492,b0904,b1533,b3927,b0515,b1511,b2285,,,
37,0.448084533232225,0.208053893508105,b0945,b3399,b1241,b0351,b3831,b4069,b2744,b3708,b0910,b3752,b0512,b2297,b2458,b3617,b2883,b2388,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b3565,b0261,b4381,b0837,b0124,b4064,b4464,b0114,b1539,b2492,b0904,b1533,b0723,b2285,,,
38,0.377466457972372,0.480948509966159,b2836,b1478,b3399,b1241,b4069,b2744,b3708,b2930,b4232,b3697,b3925,b3115,b1849,b2296,b1612,b1611,b2883,b4122,b1779,b2690,b2797,b3117,b1814,b4471,b0675,b0261,b0411,b0822,b4381,b2868,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b2285,,
40,0.499359128097901,0.0654955687420106,b2836,b3553,b1478,b3399,b1241,b0351,b4384,b2744,b0871,b1004,b3713,b1109,b0046,b3236,b1779,b0207,b3012,b1982,b2210,b1033,b1623,b2799,b1602,b4381,b3915,b0529,b2492,b0904,b1781,b3001,b3927,b1380,b0325,b2660,b1771,b1518,b0606,b2285,b1010,b4209
40,0.472393419818982,0.058573182108281,b4467,b4069,b4384,b3708,b3752,b3926,b3115,b1849,b2296,b2407,b1004,b3713,b1109,b0046,b3236,b1779,b1982,b2797,b3117,b1814,b4471,b2210,b1602,b2913,b4381,b2406,b0114,b2366,b0529,b2492,b0904,b1533,b3927,b3821,b1380,b3662,b1517,b0606,b2285,b4209
