Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.598405539749725,0.316044894135999,b4382,b3831,b4384,b1278,b3614,b0910,b3752,b4152,b3115,b1849,b2296,b2779,b2925,b2097,b2926,b2781,b3236,b1612,b1611,b4122,b1759,b3946,b0825,b0411,b1701,b1805,b0507,b4138,b4123,b0621,b0529,b2197,b3918,b1206,,
21,0.661490738738359,0.349363026188176,b0474,b2518,b3831,b1278,b3752,b4152,b2779,b2781,b1612,b1611,b4122,b1759,b4161,b4138,b4123,b0621,b4381,b2406,b3821,b3918,b1206,,,,,,,,,,,,,,,
21,0.709184664382243,0.37449517428535,b2836,b3831,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b0789,b1249,b1206,,,,,,,,,,,,,,,
20,0.630824369937042,0.333166736869069,b3831,b1278,b3614,b0910,b3752,b4152,b2926,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b4381,b2406,b3821,b3918,b1206,,,,,,,,,,,,,,,,
23,0.713274524378013,0.376712373677128,b3831,b3614,b0910,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b4138,b4123,b0621,b4381,b2406,b2197,b2835,b3918,b4042,b0494,b1206,,,,,,,,,,,,,
23,0.627456081644732,0.331337219287481,b2836,b3831,b2744,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1779,b1759,b4374,b2361,b2291,b0411,b4138,b4123,b0621,b3918,b4042,b1206,,,,,,,,,,,,,
22,0.682388275758268,0.360399956018138,b4382,b3831,b4384,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b0755,b3612,b3821,b3918,b1206,,,,,,,,,,,,,,
26,0.684925187886579,0.361739813355809,b0474,b2518,b3831,b3752,b4152,b2925,b2097,b2781,b1850,b1612,b1611,b4122,b1759,b1200,b4161,b1701,b1805,b4138,b4123,b0621,b4381,b2406,b3918,b0789,b1249,b1206,,,,,,,,,,
31,0.59840751689978,0.316045938052502,b3831,b3614,b0910,b3752,b4152,b2297,b2458,b2925,b2097,b2781,b3236,b1612,b1611,b4122,b1779,b2690,b1759,b0411,b1701,b1805,b3945,b4138,b4123,b0621,b2913,b4381,b0529,b2197,b3918,b4042,b1206,,,,,
24,0.623444097080224,0.329168383433594,b0474,b2518,b3831,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1779,b1759,b4161,b4138,b4123,b0621,b4381,b2406,b0452,b3918,b1912,b1206,b4209,,,,,,,,,,,,
22,0.678645653316682,0.358368609706421,b2836,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b2361,b2291,b4138,b4123,b0621,b0755,b3612,b3918,b4042,b1206,,,,,,,,,,,,,,
25,0.686167179983996,0.362395765256273,b3916,b3831,b3614,b0910,b3752,b4152,b2781,b1851,b1612,b1611,b4122,b1759,b3946,b0825,b4138,b4123,b0621,b4381,b2406,b1723,b2835,b3918,b1912,b0494,b1206,,,,,,,,,,,
25,0.521990019001627,0.27568641858368,b0474,b2518,b2744,b1278,b4152,b2781,b1612,b1611,b4122,b1779,b1759,b2440,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b2239,b3918,b0418,b1206,b2285,,,,,,,,,,,
27,0.6250244349956,0.0779102333386358,b0474,b2518,b3831,b2744,b3752,b4152,b2779,b2781,b1612,b1611,b4122,b1779,b1759,b2440,b4374,b4161,b2361,b2291,b4138,b4123,b0621,b2406,b2197,b3918,b1912,b1206,b3924,,,,,,,,,
21,0.71327452437793,0.376712373677514,b2744,b1278,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b2361,b2291,b4138,b4123,b0621,b2197,b3821,b3918,b1206,,,,,,,,,,,,,,,
21,0.657971835850883,0.347451502717643,b2836,b0474,b2518,b3831,b1278,b3752,b4152,b2779,b2781,b1612,b1611,b4122,b1759,b4161,b4138,b4123,b0621,b4381,b2406,b3918,b1206,,,,,,,,,,,,,,,
21,0.627456081644712,0.331337219275098,b2836,b2744,b1278,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1779,b1759,b4374,b0675,b4138,b4123,b0621,b4381,b2406,b3918,b1206,,,,,,,,,,,,,,,
21,0.662207824248479,0.349688377397508,b2836,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2779,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b3918,b1912,b1206,,,,,,,,,,,,,,,
21,0.713272817863593,0.376711472390622,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b2197,b3821,b3918,b1912,b1206,,,,,,,,,,,,,,,
36,0.449737712742163,0.237526723818518,b2744,b3614,b0910,b4152,b2297,b2458,b2779,b2925,b2097,b2781,b3617,b3236,b1612,b1611,b4122,b0907,b1759,b3962,b3946,b0825,b4267,b4374,b0675,b4138,b4123,b0621,b4381,b0509,b3125,b2197,b3918,b1912,b0325,b4266,b1206,b3924
21,0.630824369937148,0.333166736891497,b2744,b1278,b3614,b0910,b4152,b2926,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b4138,b4123,b0621,b4381,b2406,b3821,b3918,b1206,,,,,,,,,,,,,,,
24,0.661490738738343,0.349363026214708,b0474,b2518,b2744,b4152,b2779,b2781,b1612,b1611,b4122,b1759,b3449,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b3918,b0789,b1249,b0494,b1206,,,,,,,,,,,,
23,0.623449134661952,0.329271543225902,b4382,b0474,b2518,b3831,b4384,b1278,b3752,b4152,b2926,b2781,b1612,b1611,b4122,b1759,b4161,b4138,b4123,b0621,b2406,b0452,b3918,b1206,b0221,,,,,,,,,,,,,
23,0.662207824248479,0.349688377384747,b2836,b4382,b3831,b4384,b1278,b3614,b0910,b4152,b2779,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b4138,b4123,b0621,b2406,b3918,b1206,,,,,,,,,,,,,
21,0.709184664382243,0.374495174285031,b2836,b2744,b1278,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b2361,b2291,b4138,b4123,b0621,b2197,b3918,b1206,,,,,,,,,,,,,,,
23,0.662207824248563,0.349688377389392,b2836,b4382,b4384,b2744,b3614,b0910,b4152,b2779,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b4138,b4123,b0621,b2406,b3918,b0789,b1249,b1206,,,,,,,,,,,,,
21,0.630822965129048,0.333165994906578,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2926,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b2406,b3821,b3918,b4042,b1206,,,,,,,,,,,,,,,
22,0.627454317284614,0.331336287576489,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2926,b2781,b1612,b1611,b4122,b1759,b3449,b4138,b4123,b0621,b2406,b0452,b3918,b1912,b1206,,,,,,,,,,,,,,
29,0.445751329275868,0.0554917166263336,b4382,b0474,b2518,b3831,b4384,b4152,b2779,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b4161,b0411,b4138,b4123,b0621,b2913,b0452,b0529,b3918,b0789,b1249,b1206,b2285,b3924,,,,,,,
23,0.623452092658286,0.329222855238342,b2836,b0474,b2518,b2744,b4152,b2781,b1612,b1611,b4122,b1779,b1759,b4374,b4161,b0675,b4138,b4123,b0621,b4381,b2406,b3918,b0789,b1249,b1206,,,,,,,,,,,,,
31,0.601452241172674,0.317653993915546,b1478,b0474,b2518,b1241,b2744,b1278,b4152,b2779,b2925,b2097,b2781,b1612,b1611,b4122,b2690,b1759,b2440,b4374,b4161,b0675,b2361,b2291,b0822,b4138,b4123,b0621,b2913,b2197,b3918,b0418,b1206,,,,,
23,0.661490738738357,0.349363026205497,b0474,b2518,b2744,b4152,b2779,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b4138,b4123,b0621,b4381,b2406,b3821,b3918,b0789,b1249,b1206,,,,,,,,,,,,,
20,0.709184664382243,0.374495174284842,b2836,b3831,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4138,b4123,b0621,b4381,b2406,b2197,b3918,b1206,,,,,,,,,,,,,,,,
22,0.712038428232046,0.37605953567863,b0474,b2518,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b2197,b3821,b3918,b1912,b1206,,,,,,,,,,,,,,
