Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,
10,0.0307690949330631,0.31314400355622,Rv2495c,Rv2215,Rv2443,Rv3356c,Rv1902c,Rv0162c,Rv1098c,Rv0211,Rv0084,Rv2899c,,
10,0.0307690943085634,0.313142140987863,Rv2495c,Rv2215,Rv2443,Rv3356c,Rv1902c,Rv1098c,Rv0211,Rv0084,Rv2899c,Rv3535c,,
10,0.039087026116444,0.334370333315471,Rv2495c,Rv2215,Rv0753c,Rv1902c,Rv2920c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,,
10,0.0283963083848501,0.585284167205174,Rv0843,Rv0462,Rv2495c,Rv3356c,Rv1902c,Rv0162c,Rv0211,Rv2920c,Rv0084,Rv2899c,,
10,0.0289600509986418,0.52062530012456,Rv0843,Rv0462,Rv2496c,Rv3356c,Rv2476c,Rv1902c,Rv0211,Rv0084,Rv2899c,Rv3535c,,
10,0.0289600514704862,0.520626447660144,Rv3303c,Rv0843,Rv0462,Rv3356c,Rv2476c,Rv1902c,Rv0162c,Rv0211,Rv0084,Rv2899c,,
10,0.0390870260956274,0.334370200073597,Rv2495c,Rv2215,Rv1902c,Rv2920c,Rv3601c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,,
11,0.0280619401542683,0.351004823557899,Rv3303c,Rv0843,Rv0462,Rv3356c,Rv0753c,Rv1902c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
11,0.0280619401507997,0.351005144902926,Rv0843,Rv0462,Rv2496c,Rv3356c,Rv1902c,Rv3601c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
11,0.0280619401507997,0.351004566245497,Rv3303c,Rv0843,Rv0462,Rv3356c,Rv1902c,Rv3601c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
11,0.0280619401542683,0.351004824023561,Rv0843,Rv0462,Rv2495c,Rv3356c,Rv0753c,Rv1902c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
11,0.0280619401507997,0.351005144902926,Rv0843,Rv0462,Rv2495c,Rv3356c,Rv1902c,Rv3601c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
11,0.0307690949330631,0.31314400355622,Rv0843,Rv0462,Rv2496c,Rv2443,Rv3356c,Rv1902c,Rv0162c,Rv1098c,Rv0211,Rv0084,Rv2899c,
11,0.0390870260956274,0.334370200073597,Rv0843,Rv0462,Rv2496c,Rv1902c,Rv2920c,Rv3601c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
11,0.0280619401542683,0.351004824023561,Rv0843,Rv0462,Rv2496c,Rv3356c,Rv0753c,Rv1902c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
11,0.0390870260956274,0.334370200073597,Rv0843,Rv0462,Rv2495c,Rv1902c,Rv2920c,Rv3601c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
11,0.0307690949330631,0.31314400355622,Rv0843,Rv0462,Rv2495c,Rv2443,Rv3356c,Rv1902c,Rv0162c,Rv1098c,Rv0211,Rv0084,Rv2899c,
11,0.0394402190549205,0.292211267980464,Rv3303c,Rv0843,Rv0462,Rv2476c,Rv1902c,Rv3601c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
11,0.0350917113651908,0.259993309602738,Rv3303c,Rv0843,Rv0462,Rv3859c,Rv2476c,Rv1902c,Rv0211,Rv0694,Rv0084,Rv2899c,Rv3535c,
11,0.030769094641631,0.313143216990074,Rv3303c,Rv0843,Rv0462,Rv2443,Rv3356c,Rv1902c,Rv0162c,Rv1098c,Rv0211,Rv0084,Rv2899c,
11,0.030769094280809,0.313141852442566,Rv3303c,Rv0843,Rv0462,Rv2443,Rv3356c,Rv1902c,Rv1098c,Rv0211,Rv0084,Rv2899c,Rv3535c,
11,0.030769094280809,0.313141718620215,Rv2495c,Rv2215,Rv2443,Rv3356c,Rv1902c,Rv2332,Rv0162c,Rv1240,Rv0211,Rv0084,Rv2899c,
11,0.0394402190826761,0.292211267136101,Rv0843,Rv0462,Rv2496c,Rv2476c,Rv0753c,Rv1902c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
12,0.030769094280809,0.313141713741642,Rv3303c,Rv0843,Rv0462,Rv2443,Rv3356c,Rv1902c,Rv2332,Rv0162c,Rv1240,Rv0211,Rv0084,Rv2899c
