Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.728188059571233,0.384588882727391,b4382,b3831,b4384,b3614,b0910,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b4388,b4138,b4123,b0621,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.635497084552081,0.335634607712869,b3831,b3614,b0910,b3926,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b3945,b4138,b4123,b0621,b4381,b3918,b1206,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.652940107055343,0.0813899637811788,b0474,b2518,b3831,b3752,b3926,b4152,b2781,b1612,b1611,b4122,b1779,b1759,b4161,b3945,b4138,b4123,b0621,b2913,b3918,b1206,b3924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.652940107055216,0.0813899637552703,b0474,b2518,b2744,b4152,b2779,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b4138,b4123,b0621,b2913,b3918,b1912,b1206,b3924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.742191048136865,0.39198449111188,b2836,b0474,b2518,b3831,b2744,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b2361,b2291,b4138,b4123,b0621,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.727249436271347,0.384093153528849,b4382,b0474,b2518,b3831,b4384,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b4161,b4388,b4138,b4123,b0621,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.652940107055216,0.0813899637581819,b0474,b2518,b2744,b1278,b4152,b2926,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b4388,b4138,b4123,b0621,b2835,b3918,b1206,b3924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.746675919979987,0.394353153757817,b0474,b2518,b2744,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b2835,b3918,b0789,b1249,b0494,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.59861614329777,0.316156122987447,b0474,b2518,b3831,b0910,b3752,b4152,b0871,b2925,b2097,b1612,b1611,b4122,b1779,b2690,b3945,b4138,b4123,b0621,b4381,b0114,b2492,b0904,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.598616143297793,0.31615612300626,b0474,b2518,b3831,b0910,b3752,b4152,b0871,b2925,b2097,b1612,b1611,b4122,b1779,b3946,b0825,b4138,b4123,b0621,b4381,b0114,b2492,b0904,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.471152485121888,0.0588349309738251,b0474,b2518,b1241,b0351,b3831,b3752,b4152,b2781,b1612,b1611,b4122,b0907,b1779,b1759,b4161,b4138,b4123,b0621,b3918,b4042,b1206,b2285,b3924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.634132331597127,0.334913820480734,b3831,b1278,b3614,b0910,b4152,b2779,b2925,b2097,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b3946,b0825,b4138,b4123,b0621,b2913,b3918,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.633000661425759,0.334316134404607,b3831,b3614,b0910,b3752,b4152,b2297,b2458,b2925,b2097,b2781,b3236,b1612,b1611,b4122,b1779,b2690,b1759,b3945,b4138,b4123,b0621,b2913,b3918,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.602252301214338,0.318076541461906,b3831,b3614,b0910,b4152,b2779,b2925,b2097,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b3946,b0825,b4138,b4123,b0621,b2913,b1380,b3918,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.579723356522952,0.306177992136129,b0474,b2518,b3831,b3752,b4152,b0871,b2779,b2925,b2097,b1612,b1611,b4122,b3946,b0825,b4161,b4138,b4123,b0621,b2913,b0114,b1380,b1206,b3893,b1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.568172637877768,0.0708235715718756,b0474,b2518,b3831,b0910,b3752,b4152,b0871,b2925,b2097,b2926,b1612,b1611,b4122,b3946,b0825,b4388,b4138,b4123,b0621,b0114,b2492,b0904,b1380,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.747667267714189,0.394876729118343,b3831,b2744,b3614,b0910,b3752,b3926,b4152,b2781,b1612,b1611,b4122,b1759,b1200,b3449,b3946,b0825,b4374,b2361,b2291,b4138,b4123,b0621,b3918,b0494,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.598616143297736,0.316156122963449,b0474,b2518,b3831,b3752,b2930,b4232,b3697,b3925,b4152,b0871,b1612,b1611,b4122,b1779,b2690,b4161,b3945,b4138,b4123,b0621,b4381,b0114,b2492,b0904,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.598616143297738,0.316156122963895,b0474,b2518,b3831,b0910,b3752,b4152,b0871,b2925,b2097,b1612,b1611,b4122,b3946,b0825,b4138,b4123,b0621,b2913,b4381,b0114,b0755,b3612,b2492,b0904,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.598616143297768,0.316156122983955,b0474,b2518,b3831,b0910,b3752,b2930,b4232,b3697,b3925,b4152,b0871,b2926,b1612,b1611,b4122,b3946,b0825,b4138,b4123,b0621,b4381,b0114,b2492,b0904,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.466481895765776,0.246370080843328,b3831,b3614,b0910,b3752,b4152,b3115,b1849,b2296,b2779,b2925,b2097,b2781,b1612,b1611,b4122,b1759,b3946,b0825,b4138,b4123,b0621,b2913,b3918,b1206,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.598616143297851,0.316156123044663,b0474,b2518,b2744,b0910,b2930,b4232,b3697,b3925,b4152,b0871,b2926,b1612,b1611,b4122,b2690,b4374,b0675,b3945,b4138,b4123,b0621,b4381,b0114,b2492,b0904,b1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
