Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.715564599877282,0.034356533236565,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b0675,b2361,b2291,b4138,b4123,b0621,b2197,b3821,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.44995556452276,0.212638594570286,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b3617,b1612,b1611,b4122,b1982,b0675,b2361,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,
23,0.524443981449915,0.0251802242355796,b3831,b1278,b3614,b0910,b3752,b4152,b2926,b2781,b1612,b1611,b4122,b1759,b2440,b4138,b4123,b0621,b4381,b2239,b2406,b3918,b0418,b1206,b2285,,,,,,,,,,,,,,,,,,,,,,,
23,0.460008374548579,0.220552912711889,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b2883,b4381,b2406,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,
24,0.460008374548576,0.220552912711956,b1241,b0351,b4069,b2297,b2458,b3617,b0030,b2407,b2883,b4381,b2406,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,
24,0.460008374548576,0.220552912711956,b1241,b0351,b4069,b2297,b2458,b3617,b0030,b2407,b2883,b4381,b2406,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b1511,b3662,,,,,,,,,,,,,,,,,,,,,,
24,0.460007664761073,0.220552572401284,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b0030,b2407,b3616,b3589,b3665,b4381,b2406,b0112,b3654,b3714,b3664,b0114,b0529,b2492,b0904,b3662,b1518,,,,,,,,,,,,,,,,,,,,,,
24,0.460007664761081,0.22055257240136,b4382,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b2407,b3616,b3589,b3665,b2406,b0112,b3654,b3714,b3664,b0114,b0529,b2492,b0904,b3662,b1518,,,,,,,,,,,,,,,,,,,,,,
24,0.448300404666725,0.214788961398403,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b1612,b1611,b4122,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,
24,0.701860881963036,0.0336934314080866,b3916,b2744,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b1759,b1200,b4374,b0675,b4138,b4123,b0621,b4381,b2406,b0452,b1723,b3825,b3918,b4042,b1206,,,,,,,,,,,,,,,,,,,,,,
24,0.70065114003488,0.0336353567162924,b2836,b0474,b2518,b3831,b1278,b3752,b4152,b2925,b2097,b2781,b1612,b1611,b4122,b1759,b3946,b0825,b4161,b4138,b4123,b0621,b4381,b2406,b3918,b1206,,,,,,,,,,,,,,,,,,,,,,
25,0.460007664761083,0.220552572401241,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b3617,b0030,b2407,b4381,b2406,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b3662,b1518,,,,,,,,,,,,,,,,,,,,,
25,0.462030701374915,0.218500151817643,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b3617,b2883,b1623,b3665,b0411,b4381,b2406,b0112,b3654,b3714,b3664,b0114,b0529,b2492,b0904,b3662,b1518,,,,,,,,,,,,,,,,,,,,,
25,0.445595667852237,0.213642681068381,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b3617,b2407,b0411,b4388,b4381,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b3662,b1518,,,,,,,,,,,,,,,,,,,,,
25,0.493474645534267,0.200521016523976,b3553,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3752,b0871,b3617,b2407,b1982,b1033,b0261,b0507,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,
25,0.316226572129314,0.151509961372703,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b0160,b1238,b0517,b1779,b1982,b0675,b2361,b0261,b0507,b4388,b4381,b0112,b0114,b0529,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,,,
25,0.347533380233238,0.140976524706721,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b2926,b3617,b0030,b2407,b1982,b0261,b0507,b2406,b0112,b0114,b0529,b2492,b0904,b3662,b2285,,,,,,,,,,,,,,,,,,,,,
26,0.460008374548555,0.220552912711893,b3399,b1241,b0351,b4069,b2502,b2744,b3115,b1849,b2296,b3617,b1623,b3665,b4374,b0675,b2361,b2291,b0411,b0112,b3654,b3714,b3664,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,
26,0.4456952337401,0.213540776139165,b3553,b3399,b4382,b1241,b0351,b4069,b2502,b4384,b2744,b2297,b2458,b3617,b2407,b0907,b1982,b1033,b0675,b2361,b0261,b0112,b0114,b0509,b3125,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,
26,0.495785275625703,0.198216750416655,b3553,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0871,b3617,b1982,b1033,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,
26,0.62678760278199,0.0300894744916085,b3831,b2744,b1278,b3614,b0910,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1779,b1759,b4374,b2361,b2291,b0411,b4138,b4123,b0621,b0452,b2835,b3918,b1206,,,,,,,,,,,,,,,,,,,,
26,0.622499237910282,0.029883607869909,b2836,b0474,b2518,b3831,b2744,b4152,b2926,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b4374,b4161,b2361,b2291,b0411,b4138,b4123,b0621,b3918,b4042,b1206,,,,,,,,,,,,,,,,,,,,
26,0.619924414377661,0.0297645436142732,b4382,b3831,b4384,b3614,b0910,b4152,b2779,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b4138,b4123,b0621,b2913,b2239,b2406,b3453,b2835,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,,,
28,0.495657633776858,0.19833213579348,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2744,b0871,b0160,b3616,b3589,b1623,b3665,b0675,b2361,b4381,b2406,b0112,b3654,b3714,b3664,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,
28,0.473756313584477,0.192641101790915,b3399,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b0871,b3617,b2407,b0907,b3665,b0675,b2361,b0261,b0112,b3654,b3714,b3664,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,
28,0.371437096910076,0.0605680559138168,b4382,b1241,b0351,b3831,b4069,b4384,b3614,b0910,b3752,b4152,b2297,b2458,b3617,b2407,b1612,b1611,b4122,b4138,b4123,b0621,b2406,b0114,b0529,b2492,b0904,b1518,b1206,b2285,,,,,,,,,,,,,,,,,,
30,0.299978777461281,0.143533282985792,b3399,b1241,b0351,b4069,b2744,b4152,b2297,b2458,b2779,b3617,b1612,b1611,b2883,b4122,b4138,b4123,b0621,b2913,b4381,b2406,b4064,b4464,b0114,b0529,b2492,b0904,b3662,b1518,b1206,b2285,,,,,,,,,,,,,,,,
31,0.440320907488735,0.208233316201687,b3399,b1241,b0351,b4069,b2744,b4152,b2297,b2458,b3617,b1612,b1611,b2883,b4122,b1623,b3665,b0411,b4138,b4123,b0621,b4381,b2406,b3654,b3714,b3664,b0114,b0529,b2492,b0904,b3662,b1518,b1206,,,,,,,,,,,,,,,
31,0.308562899318204,0.113951545883175,b3399,b4382,b1241,b0351,b4069,b4384,b2744,b0871,b2297,b2458,b2925,b2097,b2926,b2883,b1982,b3616,b3589,b3946,b0825,b3665,b0675,b2361,b0411,b4381,b0112,b0114,b0529,b2492,b0904,b1511,b2285,,,,,,,,,,,,,,,
31,0.311798236708768,0.0508430988590756,b1241,b0351,b4069,b4384,b2744,b0910,b3752,b4152,b3115,b1849,b2296,b3617,b2407,b1612,b1611,b4122,b1779,b4374,b0675,b2361,b2291,b4138,b4123,b0621,b0114,b0529,b2492,b0904,b1518,b1206,b2285,,,,,,,,,,,,,,,
32,0.48511382521234,0.17828224143842,b3399,b4382,b1241,b0351,b4069,b2744,b3708,b3115,b1849,b2296,b3617,b0160,b1612,b1611,b4122,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b3821,,,,,,,,,,,,,,
32,0.404265607057717,0.101353804035748,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3752,b2930,b4232,b3697,b3925,b0871,b3617,b2407,b1612,b1611,b4122,b2690,b1982,b3945,b4381,b2406,b0114,b0529,b2492,b0904,b0515,b3662,b1517,b2285,,,,,,,,,,,,,,
33,0.312545557519836,0.0448996384504456,b4269,b0493,b3588,b3003,b3011,b0474,b2518,b1241,b0351,b3831,b4384,b3752,b4152,b0871,b2926,b3617,b2407,b1612,b1611,b4122,b0907,b4138,b4123,b0621,b4381,b2406,b0114,b0529,b2492,b0904,b1517,b1206,b2285,,,,,,,,,,,,,
34,0.557856521087296,0.0267844665754279,b4467,b2242,b4382,b0474,b2518,b3831,b4384,b1278,b3752,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b2210,b4161,b1415,b4138,b4123,b0621,b2406,b2197,b2835,b3028,b3918,b0494,b1206,b2285,b3893,b1474,,,,,,,,,,,,
34,0.431009822014299,0.00407733718774422,b1241,b0351,b3831,b4069,b0910,b3752,b4152,b0871,b2297,b2458,b2925,b2097,b2926,b3617,b1612,b1611,b4122,b3946,b0825,b4388,b4138,b4123,b0621,b4381,b2406,b2943,b0114,b0529,b2492,b0904,b0516,b1695,b1517,b1206,,,,,,,,,,,,
35,0.399971704637377,0.00100259857388252,b4382,b1241,b0351,b3831,b4069,b4384,b2930,b4232,b3697,b3925,b4152,b3115,b1849,b2296,b2779,b3617,b0030,b2407,b1612,b1611,b4122,b3946,b0825,b4138,b4123,b0621,b2913,b2406,b2943,b0114,b0529,b2492,b0904,b1518,b1206,,,,,,,,,,,
36,0.49694033244128,0.185879288999606,b3399,b1241,b0351,b4069,b2744,b3708,b3115,b1849,b2296,b3617,b0160,b1238,b3124,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0112,b2789,b3127,b2975,b0114,b3603,b2366,b2492,b0904,b1533,b2835,b0494,b0514,,,,,,,,,,
36,0.717992075979934,0.0621432014151471,b4382,b4384,b3708,b3008,b0871,b0030,b2407,b0120,b2797,b3117,b1814,b4471,b3665,b3709,b2406,b3161,b0112,b3654,b3714,b3664,b0114,b0886,b2366,b2492,b0904,b0591,b2578,b1533,b3927,b3821,b1473,b1511,b4141,b1798,b3662,b1985,,,,,,,,,,
38,0.312517973900247,0.127077582073437,b4269,b0493,b3588,b3003,b3011,b0238,b0125,b1241,b0351,b2744,b0871,b2925,b2097,b3236,b2883,b1779,b2690,b0477,b3616,b3589,b2210,b4374,b2361,b2291,b0261,b3945,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b3662,b2285,,,,,,,,
38,0.435540467641583,0.02091168366138,b0474,b2518,b1241,b0351,b3831,b3752,b2221,b4152,b0871,b2297,b2458,b2925,b2097,b2781,b3617,b1612,b1611,b4122,b0907,b1779,b1759,b3946,b0825,b4161,b4015,b0411,b0614,b4138,b4123,b0621,b4381,b0728,b2197,b3825,b3918,b4042,b1206,b2285,,,,,,,,
40,0.341958433561938,0.040350110988378,b4382,b4269,b0493,b3588,b3003,b3011,b0238,b0125,b0474,b2518,b1241,b0351,b4384,b2744,b4152,b0871,b2779,b2925,b2097,b1612,b1611,b4122,b0477,b3616,b3589,b3946,b0825,b4374,b0675,b4138,b4123,b0621,b2406,b0114,b0529,b2492,b0904,b1518,b1206,b2285,,,,,,
41,0.313160778164475,0.116936504976209,b1241,b0351,b4069,b4384,b2744,b3708,b2930,b4232,b3697,b3925,b0512,b0871,b3115,b1849,b2296,b2926,b3617,b0030,b2407,b2690,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b0822,b4381,b2406,b0112,b1727,b0114,b2366,b2492,b0904,b1533,b4042,b3662,b1517,b2285,,,,,
41,0.530453243396767,0.10415418933215,b0945,b2836,b3399,b4382,b0238,b0125,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b3617,b2407,b3236,b4139,b2797,b3117,b1814,b4471,b0675,b2361,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b1539,b2492,b0904,b2954,b1533,b0723,b1511,b3662,b1985,,,,,
42,0.644369900886253,0.0555005461181395,b3553,b4382,b0586,b4384,b3708,b3008,b3752,b0871,b2779,b2926,b2407,b0907,b1982,b2797,b3117,b1814,b4471,b1033,b4014,b0261,b2976,b3709,b2406,b3161,b0112,b2789,b3127,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b1473,b1600,b4141,b1798,b3662,b1985,,,,
46,0.559681804790889,0.0700179331761028,b4069,b4384,b3708,b3008,b2930,b4232,b3697,b3925,b3115,b1849,b2296,b2926,b0030,b2407,b1238,b0583,b2690,b2797,b3117,b1814,b4471,b3665,b0335,b3945,b3709,b4381,b2406,b3161,b0112,b3654,b3714,b3664,b0114,b0728,b2366,b2492,b0904,b2947,b2578,b1533,b3927,b2835,b1473,b0494,b1511,b3662
46,0.680241573991492,0.0131063115855579,b4382,b4069,b3708,b3008,b3115,b1849,b2296,b2925,b2097,b0030,b2407,b2883,b2690,b2797,b3117,b1814,b4471,b2440,b0596,b3945,b3709,b4381,b2406,b3161,b0112,b3654,b2868,b3714,b3664,b4064,b4464,b0114,b0529,b1539,b2492,b0904,b2947,b2578,b1533,b3927,b1473,b0494,b4141,b1798,b3662,b1517
