Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.645026887619189,0.273231669518842,b4069,b4384,b3708,b3008,b3752,b2297,b2458,b2926,b2407,b1982,b2797,b3117,b1814,b4471,b3449,b0261,b4381,b2406,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b0494,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.550340416964659,0.809013621105937,b3399,b4382,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b3617,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.548387979298187,0.820492610753092,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b2407,b1238,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b4381,b2406,b0112,b0114,b2366,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.725421053418365,0.307286423775256,b3399,b4069,b2502,b2744,b3708,b3008,b2297,b2458,b1982,b2797,b3117,b1814,b4471,b2440,b0595,b4374,b0675,b2361,b2291,b0261,b0114,b2366,b2492,b0904,b2578,b1533,b3927,b0494,b3447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.682086217052354,0.153396870225678,b3399,b2502,b2744,b3708,b3008,b0871,b2779,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b2291,b0261,b4381,b0114,b0886,b0529,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.647000098052733,0.274015367985235,b2836,b3399,b4382,b4069,b4384,b2744,b3708,b3008,b2297,b2458,b2926,b0160,b2407,b3844,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b2406,b0114,b1539,b2492,b0904,b2578,b1533,b3927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.544348508464789,0.814448794875324,b3399,b4382,b2066,b1241,b0351,b4069,b2502,b4384,b2744,b3708,b0910,b2297,b2458,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b2498,b0675,b2361,b0261,b2406,b0112,b0114,b1539,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.721187156119874,0.305492956165519,b4069,b4384,b2744,b3708,b3008,b3752,b2297,b2458,b2407,b0583,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b2406,b0452,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3662,b0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.548387979298175,0.820492610731969,b3399,b4382,b1241,b0351,b4069,b4384,b2744,b3708,b3115,b1849,b2296,b0160,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0675,b2361,b2291,b0261,b1701,b1805,b2406,b0112,b0114,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.528348350785258,0.519999566261955,b3399,b4382,b0474,b2518,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b2781,b0099,b0160,b2235,b1982,b3616,b3589,b1623,b0675,b2361,b0261,b1654,b3610,b0849,b1064,b0112,b0114,b0529,b2492,b0904,b2954,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.61953213774199,0.142204515776768,b4382,b4384,b3708,b3008,b3752,b0871,b2925,b2097,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b3665,b0261,b2406,b0114,b0886,b0529,b1539,b2492,b0904,b0591,b2578,b1533,b3927,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.360954621898392,0.0818194129891672,b2836,b4384,b3708,b3008,b0871,b2925,b2097,b0030,b2407,b0517,b1779,b2690,b1982,b2797,b3117,b1814,b4471,b0261,b3945,b4381,b2406,b0114,b0529,b1539,b2492,b0904,b2578,b1533,b3927,b2413,b3447,b3662,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.684975893219665,0.139303090745216,b3399,b4384,b2744,b3708,b3008,b3752,b0871,b2779,b2883,b1982,b2797,b3117,b1814,b4471,b3449,b1623,b0261,b4381,b2406,b4064,b4464,b0114,b0886,b2366,b0529,b2492,b0904,b2578,b1533,b3927,b0494,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.396867965555337,0.0910952207588188,b4384,b3708,b3008,b3752,b0871,b2297,b2458,b2779,b2925,b2097,b2407,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b0261,b4381,b2406,b0114,b0886,b2366,b0529,b2492,b0904,b2578,b1533,b3927,b3821,b2413,b3662,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.551500702500255,0.77523819524561,b0474,b2518,b1241,b0351,b3831,b4069,b4384,b3708,b3752,b2297,b2458,b2781,b3617,b2407,b1759,b1982,b2797,b3117,b1814,b4471,b4161,b0261,b1701,b1805,b4381,b2406,b0112,b0114,b1539,b2492,b0904,b1533,b3918,b4042,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.357957520544136,0.0821122097382058,b4382,b0474,b2518,b4384,b3708,b3008,b0871,b2925,b2097,b0030,b2407,b1779,b2690,b1982,b2688,b2797,b3117,b1814,b4471,b0261,b3945,b2406,b0452,b0114,b0509,b3125,b0529,b1539,b2492,b0904,b2578,b1533,b3927,b0508,b3662,b2285,,,,,,,,,,,,,,,,,,,,,,,,
