Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,
9,0.0423073897252643,0.317984673587159,Rv0843,Rv0462,Rv2496c,Rv2332,Rv0162c,Rv0211,Rv3601c,Rv0084,Rv2899c,,,
9,0.0423073897183254,0.317984680528753,Rv2495c,Rv2215,Rv0753c,Rv2332,Rv0162c,Rv0211,Rv0522,Rv0084,Rv2899c,,,
9,0.0423073897252643,0.317984673587159,Rv0843,Rv0462,Rv2495c,Rv2332,Rv0162c,Rv0211,Rv3601c,Rv0084,Rv2899c,,,
9,0.0433724259979987,0.261540683962262,Rv0843,Rv0462,Rv2495c,Rv0162c,Rv1240,Rv0211,Rv3601c,Rv0084,Rv2899c,,,
9,0.0368947426191066,0.101744487692577,Rv2697c,Rv2967c,Rv3859c,Rv2476c,Rv1902c,Rv1098c,Rv0211,Rv0694,Rv1475c,,,
9,0.0423073897252643,0.317984672263265,Rv3303c,Rv0843,Rv0462,Rv2332,Rv0162c,Rv0211,Rv3601c,Rv0084,Rv2899c,,,
9,0.0368947426260457,0.101744599070157,Rv2697c,Rv2967c,Rv3859c,Rv2476c,Rv1902c,Rv1098c,Rv0211,Rv1837c,Rv0191,,,
10,0.0423073897183254,0.317984706955031,Rv0843,Rv0462,Rv2496c,Rv0753c,Rv2332,Rv0162c,Rv0211,Rv0522,Rv0084,Rv2899c,,
10,0.0423073897460809,0.317984676931189,Rv2495c,Rv2215,Rv2332,Rv0211,Rv3601c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,,
10,0.0433724260136113,0.261540665151879,Rv2495c,Rv2215,Rv1240,Rv0211,Rv3601c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,,
10,0.0433724260309584,0.261540726508579,Rv3303c,Rv0843,Rv0462,Rv0753c,Rv0162c,Rv1240,Rv0211,Rv0522,Rv0084,Rv2899c,,
10,0.0433724260309584,0.261540726508579,Rv0843,Rv0462,Rv2496c,Rv0753c,Rv0162c,Rv1240,Rv0211,Rv0522,Rv0084,Rv2899c,,
10,0.0423073897183254,0.317984673660249,Rv3303c,Rv0843,Rv0462,Rv0753c,Rv2332,Rv0162c,Rv0211,Rv0522,Rv0084,Rv2899c,,
10,0.0433724260309584,0.261540726508579,Rv0843,Rv0462,Rv2495c,Rv0753c,Rv0162c,Rv1240,Rv0211,Rv0522,Rv0084,Rv2899c,,
11,0.0433724260309584,0.261540801596461,Rv2495c,Rv2215,Rv0753c,Rv1240,Rv0211,Rv0522,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
11,0.0424823178861586,0.178206601296552,Rv0069c,Rv2476c,Rv1902c,Rv2920c,Rv1595,Rv2780,Rv0084,Rv2899c,Rv1905c,Rv1077,Rv1475c,
11,0.0423073897183254,0.317984681418231,Rv2495c,Rv2215,Rv0753c,Rv2332,Rv0211,Rv0522,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
11,0.0433724260136113,0.261540665151879,Rv0843,Rv0462,Rv2495c,Rv1240,Rv0211,Rv3601c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
11,0.0433724259910598,0.261540600184556,Rv3303c,Rv0843,Rv0462,Rv1240,Rv0211,Rv3601c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
11,0.0423073897460809,0.317984676931189,Rv0843,Rv0462,Rv2496c,Rv2332,Rv0211,Rv3601c,Rv3293,Rv0147,Rv0084,Rv2899c,Rv3535c,
