Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.664450461037171,1.68445098499373,b0871,b2779,b2925,b2097,b0907,b3946,b0825,b1493,b3517,b0726,b4381,b2789,b3127,b0114,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.524372713739693,0.356665901825518,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b3115,b1849,b2296,b3617,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b2406,b0112,b2789,b3127,b0452,b0114,b1539,b2492,b0904,b1533,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,
34,0.524372713739718,0.356665901799416,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b3115,b1849,b2296,b3617,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b0112,b2789,b3127,b0452,b0114,b2366,b2492,b0904,b1533,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,
34,0.468322227687518,0.350349516897722,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b3115,b1849,b2296,b2779,b2926,b3617,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0112,b2789,b3127,b0114,b2366,b2492,b0904,b1533,b3825,b0494,,,,,,,,,,,,,,,,,,,,,,,
34,0.468322227687601,0.350349516915912,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b2779,b3617,b0030,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b1701,b1805,b0112,b2789,b3127,b0114,b2366,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,
34,0.761674548346713,0.00106063179782779,b4382,b4384,b3708,b3008,b0871,b0030,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b2789,b3127,b0114,b0886,b1539,b2492,b0904,b3035,b2578,b1533,b3927,b3825,b2965,b0693,b0494,b0514,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,
35,0.468322227687647,0.350349516929278,b1241,b0351,b4069,b4384,b2744,b3708,b2297,b2458,b2779,b2926,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b2440,b4374,b2361,b2291,b0261,b0411,b0112,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b0494,b3662,,,,,,,,,,,,,,,,,,,,,,
35,0.468322227687657,0.350349516921901,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b2926,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b1701,b1805,b2406,b0112,b2789,b3127,b0114,b0755,b3612,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,
35,0.709945272509753,0.141011526174281,b0586,b4069,b4384,b3708,b3008,b3752,b2297,b2458,b2407,b1238,b3124,b1982,b2688,b2797,b3117,b1814,b4471,b2440,b0261,b4381,b2406,b2789,b3127,b0452,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b0514,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,
35,0.761417225701591,0.0248267512204058,b3399,b4382,b2502,b2744,b3708,b3008,b0871,b3124,b0583,b0120,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b2789,b3127,b0452,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b0514,b4141,b1798,b0221,,,,,,,,,,,,,,,,,,,,,,
36,0.426525145342208,0.159713193713018,b3553,b1478,b1241,b0351,b4069,b3708,b2297,b2458,b2926,b3617,b1004,b3713,b1109,b0046,b3124,b3236,b2797,b3117,b1814,b4471,b1033,b0261,b1602,b2913,b4381,b2789,b3127,b0114,b0755,b3612,b1539,b2492,b0904,b1380,b1695,b2285,,,,,,,,,,,,,,,,,,,,,
36,0.67998758717691,0.0780405887488007,b4384,b3708,b3008,b0871,b2779,b0030,b2407,b1238,b0583,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0112,b2789,b3127,b0114,b0886,b0755,b3612,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b1600,b0514,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,
36,0.631536070714385,0.0724799212522835,b4382,b4384,b3708,b3008,b3752,b0871,b2925,b2097,b2926,b2407,b3124,b2690,b1982,b2797,b3117,b1814,b4471,b0261,b3945,b2406,b2789,b3127,b0114,b0886,b1539,b2492,b0904,b3035,b2578,b1533,b3927,b3821,b0514,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,
37,0.511748138460591,0.382836223620572,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b2297,b2458,b1238,b3124,b2883,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b1701,b1805,b4381,b2406,b0112,b2789,b3127,b2868,b4064,b4464,b0114,b2366,b2492,b0904,b1533,b0514,b3662,,,,,,,,,,,,,,,,,,,,
37,0.458524186230368,0.144154213418008,b2836,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2925,b2097,b3617,b2407,b1238,b3124,b1982,b2797,b3117,b1814,b4471,b3946,b0825,b0261,b4381,b2406,b0112,b2789,b3127,b2868,b0114,b2366,b0755,b3612,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,
