Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.530165979506364,0.861721444862702,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3752,b0871,b2407,b1982,b3616,b3589,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b0516,b3662,,,,,,,,,,,,,,,,,,,,,,,
24,0.530172633149958,0.860255728815799,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0871,b3617,b1982,b4374,b0675,b2361,b2291,b0261,b0505,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,
24,0.555610626637959,0.439008143293546,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0512,b0871,b3617,b1982,b0675,b2361,b2291,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,
25,0.530158533493326,0.86170934225075,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b0871,b3617,b0160,b1982,b3665,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,
25,0.555617934278415,0.437466521375036,b3399,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b2744,b0871,b3617,b2407,b1982,b0675,b2361,b0261,b0505,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,
27,0.532420312282989,0.795076243343437,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b0505,b2406,b0112,b0452,b0114,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,
27,0.639296622855512,0.27080434465929,b3399,b4069,b2502,b2744,b3708,b3008,b2297,b2458,b2779,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b3821,,,,,,,,,,,,,,,,,,,,
29,0.502186144920169,0.962426438804021,b3399,b4382,b0238,b0125,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b3617,b0030,b2883,b1982,b0477,b1623,b0261,b2406,b0112,b4064,b4464,b0114,b0529,b2492,b0904,b2954,b0516,b3662,,,,,,,,,,,,,,,,,,
30,0.53241857570145,0.795095106600863,b2836,b3399,b1241,b0351,b4069,b2744,b3708,b3115,b1849,b2296,b3617,b0160,b1238,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b0505,b4381,b2406,b0112,b0114,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,
30,0.644748832364436,0.273113885959447,b4382,b4069,b4384,b3708,b3008,b3752,b3115,b1849,b2296,b2779,b2407,b1982,b2797,b3117,b1814,b4471,b0595,b0261,b2406,b0114,b2366,b2492,b0904,b2578,b1533,b3927,b3825,b0494,b3447,b3662,,,,,,,,,,,,,,,,,
30,0.640057885665861,0.270811104970445,b2836,b4382,b4069,b4384,b3708,b3008,b0910,b3752,b2297,b2458,b2407,b1779,b1982,b2688,b2797,b3117,b1814,b4471,b0261,b2406,b0114,b1539,b2492,b0904,b0591,b2578,b1533,b3927,b3662,b4209,,,,,,,,,,,,,,,,,
31,0.459296859297874,0.194519905462673,b2836,b2066,b4069,b4384,b3708,b3008,b0910,b3115,b1849,b2296,b0030,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0114,b0529,b1539,b2492,b0904,b1533,b3927,b2240,b3662,b2285,,,,,,,,,,,,,,,,
31,0.759037851761295,0.174185220677127,b4384,b3708,b3008,b0871,b0030,b2407,b1238,b0583,b0120,b1982,b2797,b3117,b1814,b4471,b2440,b3665,b0261,b4381,b2406,b0452,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b3662,,,,,,,,,,,,,,,,
31,0.680780342831211,0.156263142889404,b2836,b3831,b4384,b3708,b3008,b3752,b0871,b2926,b2407,b0121,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b0594,b4141,b1798,b3662,b0221,,,,,,,,,,,,,,,,
32,0.53242031228299,0.795076243384854,b3399,b4382,b1241,b0351,b4069,b4384,b2744,b3708,b3752,b2297,b2458,b3617,b2883,b1982,b2797,b3117,b1814,b4471,b1623,b0261,b0411,b0505,b4381,b2406,b0112,b0452,b0114,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,
32,0.467851463829635,0.185903916875418,b2836,b3399,b3831,b4069,b2744,b3708,b3008,b2297,b2458,b0160,b3844,b1779,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0114,b1539,b2492,b0904,b2578,b1533,b3927,b0594,b3447,b2285,,,,,,,,,,,,,,,
